pointid    X                       Y                  reach       cond_mult              head_add
33        983272.731402182       124851.208406848       1            1.1379490E+00         -1.3000000E-04
34        983685.367765442       124488.893551302       1            1.5393200E+00         -1.3000000E-04
35        983675.303463899       124025.935680328       1            2.4545850E+00         -1.3000000E-04
36        984259.032953388       123874.971157184       1            9.1315420E+00         -1.3000000E-04
37        984913.212553678       123693.813729412       1            5.9523210E+00         -1.3000000E-04
38        985738.485280197       123824.64964947        1            1.2502620E+00         -1.3000000E-04
39        986372.536277401       123613.299317068       1            8.9190380E-01         -1.3000000E-04
40        986936.137163805       123512.656301639       1            5.3088390E-01         -1.3000000E-04
41        987197.809003921       122989.312621408       1            8.0022140E-01         -1.3000000E-04
42        987278.323416264       122808.155193635       1            8.5001960E-01         -1.3000000E-04
43        987419.223637865       122556.547655062       1            9.2635230E-01         -1.3000000E-04
44        987600.381065637       122697.447876663       1            8.9188900E-01         -1.3000000E-04
45        987761.409890324       123079.891335294       1            9.7379550E-01         -1.3000000E-04
46        988184.110555127       123039.634129122       1            9.5938360E-01         -1.3000000E-04
47        988425.653792157       122808.155193635       1            9.8558000E-01         -1.3000000E-04
48        988596.746918386       122445.84033809        1            1.0303300E+00         -1.3000000E-04
49        988898.675964674       122717.576479749       1            9.7766160E-01         -1.3000000E-04
50        988667.197029187       121459.538786884       1            1.0228850E+00         -1.3000000E-04
51        988747.71144153        121982.882467116       1            1.0196100E+00         -1.3000000E-04
52        974808.653804587       126632.589779944       3            2.8685520E+00         -1.3000000E-04
53        975452.769103334       126954.647429318       3            3.3991800E+00         -1.3000000E-04
54        976177.398814424       127045.226143204       3            2.2230150E+00         -1.3000000E-04
55        976479.327860712       126471.560955258       3            7.3167840E-01         -1.3000000E-04
56        976871.835620885       126109.246099712       3            1.0560240E+00         -1.3000000E-04
57        977103.314556373       124841.144105305       4            1.8532500E+00         -1.3000000E-04
58        977636.722538147       124971.980025363       4            1.3830390E+00         -1.3000000E-04
59        977676.979744319       125203.45896085        4            1.1972570E+00         -1.3000000E-04
60        977999.037393692       125233.651865479       4            1.2856390E+00         -1.3000000E-04
61        978371.41655078        125525.516610223       4            1.3283570E+00         -1.3000000E-04
62        978361.352249237       125897.895767311       4            1.0535230E+00         -1.3000000E-04
63        975020.004136988       122757.83368592        5            1.3556840E+01         -1.3000000E-04
64        975654.055134192       123331.498873867       5            3.7358900E+01         -1.3000000E-04
65        976117.013005166       123210.727255352       5            5.0369470E+01         -1.3000000E-04
66        976620.228082313       122767.897987463       5            6.6117250E+00         -1.3000000E-04
67        977183.828968716       122637.062067405       5            3.3770520E+00         -1.3000000E-04
68        977767.558458205       123110.084239923       5            3.1396550E+00         -1.3000000E-04
69        978341.223646152       123522.720603182       5            1.8794470E+00         -1.3000000E-04
70        979226.882181929       123965.549871071       5            1.5659770E+00         -1.3000000E-04
71        979901.190385304       124096.385791129       5            1.2839310E+00         -1.3000000E-04
72        980243.376637763       124810.951200676       5            2.3964440E+00         -1.3000000E-04
73        980897.556238053       124790.82259759        5            1.3160010E+00         -1.3000000E-04
74        981511.478632171       124921.658517648       5            8.7685350E-01         -1.3000000E-04
75        981692.636059944       125052.494437706       5            8.7889380E-01         -1.3000000E-04
76        981823.471980002       125102.815945421       5            8.7946490E-01         -1.3000000E-04
77        981833.536281545       124841.144105305       5            1.0557700E+00         -1.3000000E-04
78        981863.729186173       124559.343662103       5            1.4843550E+00         -1.3000000E-04
79        982215.979740176       124468.764948217       5            1.1046550E+00         -1.3000000E-04
80        982487.715881834       124539.215059017       5            9.0691690E-01         -1.3000000E-04
81        983484.081734583       125988.474481197       6            3.1057720E+00         -1.3000000E-04
82        984057.74692253        125787.188450339       6            4.4393580E+00         -1.3000000E-04
83        984188.582842588       125434.937896337       6            2.3313940E+00         -1.3000000E-04
84        984168.454239502       125022.301533077       6            1.3687280E+00         -1.3000000E-04
85        983967.168208644       125052.494437706       6            1.1774370E+00         -1.3000000E-04
86        983886.6537963         125304.101976279       6            1.4922550E+00         -1.3000000E-04
87        983675.303463899       125354.423483994       6            1.5532090E+00         -1.3000000E-04
88        983514.274639212       125163.201754678       6            1.2428590E+00         -1.3000000E-04
89        983443.824528412       124780.758296047       6            1.0761850E+00         -1.3000000E-04
90        986332.27907123        126703.039890745       7            9.3395380E-01         -1.3000000E-04
91        985738.485280197       126230.017718228       7            1.0567130E+00         -1.3000000E-04
92        985919.64270797        125686.54543491        7            1.0408600E+00         -1.3000000E-04
93        985718.356677112       125112.880246963       7            1.0521000E+00         -1.3000000E-04
94        985376.170424652       124690.179582161       7            1.0922540E+00         -1.3000000E-04
95        985164.820092251       124207.093108101       7            9.7362040E-01         -1.3000000E-04
96        985064.177076822       123985.678474157       7            1.1995700E+00         -1.3000000E-04
97        985295.656012309       123895.09976027        7            1.0228830E+00         -1.3000000E-04
98        985758.613883283       123874.971157184       7            1.0824910E+00         -1.3000000E-04
99        975533.283515677       129601.558735106       8            7.8578150E+00         -1.3000000E-04
100       975794.955355793       128987.636340987       8            1.0876460E+01         -1.3000000E-04
101       976106.948703623       128816.543214758       8            7.2144040E+00         -1.3000000E-04
102       976439.07065454        129048.022150245       8            4.3030080E+00         -1.3000000E-04
103       976690.678193113       128927.25053173        8            2.7296620E+00         -1.3000000E-04
104       976902.028525514       128645.450088528       8            1.8176490E+00         -1.3000000E-04
105       977224.086174888       128383.778248412       8            1.7798130E+00         -1.3000000E-04
106       977415.307904203       128263.006629897       8            1.5691760E+00         -1.3000000E-04
107       977334.79349186        127951.013282067       8            1.7258340E+00         -1.3000000E-04
108       977435.436507289       127568.569823436       8            1.6456250E+00         -1.3000000E-04
109       977908.458679806       127306.89798332        8            9.9228740E-01         -1.3000000E-04
110       978431.802360038       127216.319269434       8            1.0891080E+00         -1.3000000E-04
111       978612.95978781        127256.576475605       8            1.0805230E+00         -1.3000000E-04
112       978633.088390896       127065.35474629        8            1.1909450E+00         -1.3000000E-04
113       978582.766883182       126662.782684573       8            1.6320270E+00         -1.3000000E-04
114       978914.888834098       126531.946764515       8            1.6845320E+00         -1.3000000E-04
115       979257.075086557       126461.496653715       8            1.1080110E+00         -1.3000000E-04
116       979428.168212787       126632.589779944       8            6.7894230E-01         -1.3000000E-04
117       979649.582846731       126582.26827223        8            6.4738970E-01         -1.3000000E-04
118       979971.640496104       126340.7250352         8            1.6367080E+00         -1.3000000E-04
119       977616.593935061       130114.838113794       9            1.9313090E+00         -1.3000000E-04
120       977616.593935061       129410.33700579        9            1.9278010E+00         -1.3000000E-04
121       977505.886618089       129148.665165674       9            1.7798120E+00         -1.3000000E-04
122       977073.121651744       129017.829245616       9            1.9207990E+00         -1.3000000E-04
123       976942.285731686       128625.321485442       9            1.7169440E+00         -1.3000000E-04
124       981098.842268912       128142.235011382       10           9.6779680E-01         -1.3000000E-04
125       981129.03517354        127276.705078691       10           1.0791690E+00         -1.3000000E-04
126       981672.507456858       126803.682906174       10           1.1624840E+00         -1.3000000E-04
127       985869.321200255       130054.452304537       11           9.7230290E-01         -1.3000000E-04
128       985748.54958174        129329.822593447       11           1.0097170E+00         -1.3000000E-04
129       985386.234726195       128776.286008586       11           9.6223860E-01         -1.3000000E-04
130       985124.562886079       128182.492217554       11           8.3078510E-01         -1.3000000E-04
131       984742.119427448       127800.048758923       11           1.0217580E+00         -1.3000000E-04
132       983936.975304015       127779.920155837       11           1.2770130E+00         -1.3000000E-04
133       983484.081734583       127890.627472809       11           1.6975910E+00         -1.3000000E-04
134       982980.866657437       127810.113060466       11           2.0223300E+00         -1.3000000E-04
135       982467.587278749       127649.084235779       11           3.0452260E+00         -1.3000000E-04
136       982226.044041718       127236.447872519       11           2.8470650E+00         -1.3000000E-04
137       981944.243598517       126914.390223146       11           2.0030470E+00         -1.3000000E-04
138       981702.700361487       126542.011066058       11           8.5075020E-01         -1.3000000E-04
139       984530.769095047       129551.237227391       12           6.3153170E-01         -1.3000000E-04
140       984671.669316648       128886.993325558       12           5.2205160E-01         -1.3000000E-04
141       984742.119427448       128303.263836069       12           6.5110320E-01         -1.3000000E-04
142       984440.190381161       128071.784900582       12           8.1426330E-01         -1.3000000E-04
143       983936.975304015       127800.048758923       12           1.2182430E+00         -1.3000000E-04
144       983494.146036126       128786.350310129       13           7.3367720E-01         -1.3000000E-04
145       983423.695925326       127951.013282067       13           1.4679600E+00         -1.3000000E-04
146       982044.886613946       128252.942328354       14           1.1829810E+00         -1.3000000E-04
147       982256.236946347       127488.055411092       14           3.4168060E+00         -1.3000000E-04
