pointid   X                      Y                      layer_kx_multiplier         vertical_anisotropy       recharge
41        975280.348232838       129570.828094049            7.3173340E-01              9.7055130E+00            3.7498001E-03
42        974657.344067934       127787.74720829             5.4328590E-01              1.0777320E+01            3.7498001E-03
43        976118.181420122       128281.853959766            3.6521920E-01              9.7977140E+00            3.7498001E-03
44        976762.668487263       126863.982412054            4.9774970E-01              7.7322250E+00            3.7498001E-03
45        974528.446654506       125510.559571057            5.5260650E-01              1.4836940E+01            3.7498001E-03
46        976010.766908932       125575.008277771            1.0000000E-01              2.2550080E+01            3.7498001E-03
47        974635.861165696       124264.55124125             8.3443990E-01              1.0354120E+01            3.7498001E-03
48        973454.301542603       124629.760579297            1.6131700E+00              7.7358340E+00            3.7498001E-03
49        976118.181420122       124414.931556916            4.8671200E-01              1.2891350E+01            3.7498001E-03
50        974721.792774648       122911.128400253            9.7401120E-01              9.6768770E+00            3.7498001E-03
51        988879.025349525       122846.679693538            1.4444490E+00              9.1893240E+00            3.7498001E-03
52        978073.125523785       125489.076668819            4.6192400E-01              1.0843660E+01            3.7498001E-03
53        978427.593410712       124758.657992725            7.1127990E-01              1.0604570E+01            3.7498001E-03
54        978642.422433093       124382.707203559            6.2370220E-01              1.1252290E+01            3.7498001E-03
55        979383.582560306       124672.726383773            6.1408340E-01              1.0547480E+01            3.7498001E-03
56        986773.700930196       123373.010798371            6.4645230E-01              1.3040300E+01            3.7498001E-03
57        986811.296009112       123491.16676068             4.4110040E-01              1.5865750E+01            3.7498001E-03
58        986601.837712291       123501.908211799            5.8424060E-01              1.2719210E+01            3.7498001E-03
59        986918.710520303       123313.932817216            1.0508670E+00              1.0414410E+01            3.7498001E-03
60        986564.242633375       123292.449914978            8.0664090E-01              1.1525410E+01            3.7498001E-03
61        986435.345219946       122991.689283645            1.2619230E+00              9.8208210E+00            3.7498001E-03
62        986591.096261172       122379.426569861            2.1861890E+00              9.6745680E+00            3.7498001E-03
63        974925.88034591        126665.265566352            2.8943270E-01              1.5106760E+01            3.7498001E-03
64        978492.042117426       125193.686763046            6.3113920E-01              1.0016860E+01            3.7498001E-03
65        977138.619276429       124484.75098919             6.2029140E-01              1.0957340E+01            3.7498001E-03
66        976730.444133906       123356.898621692            8.0068460E-01              1.0834900E+01            3.7498001E-03
67        987730                 121488                      1.0073380E+00              9.5956360E+00            3.7498001E-03
