real_name,h1-3892_1,h1-1664_1,h1-162_1,h3-3521_1,h3-3988_1,h3-3417_1,h3-3829_1,h3-3357_1,h3-3594_1,h3-3892_1,h3-1152_1,h3-313_1,h3-209_1,h3-331_1,h3-707_1,h3-3956_1,h3-2270_1,h3-521_1,trib_1,total_1,dh3892_1,p-trib_1,p-total_1
84,89.7888,84.7765,85.6352,95.1404,94.526,91.7165,90.1377,88.6547,89.1456,89.6967,84.9795,98.6966,90.583,88.2929,86.4794,87.4624,85.0756,85.6368,-9373.2,-11578.1,0.0921098,-7995.45,-10168.3
85,89.931,84.5438,85.9014,94.7951,94.9134,91.528,90.2706,88.2887,89.0322,89.8125,84.9957,98.3532,90.7537,88.8104,86.6092,87.2516,84.367,85.612,-8473.68,-12425.3,0.118541,-7155.85,-11067.9
86,89.9322,84.5437,85.3511,94.7647,94.7734,91.6269,90.1392,88.6669,89.1356,89.8339,84.7109,98.9026,90.603,88.3424,86.7823,87.4764,84.6908,85.7158,-9042.01,-11626.8,0.0982868,-7638.16,-10170
87,89.8408,84.8516,85.3324,94.5414,94.8742,91.6475,89.9712,88.2391,89.0589,89.7422,85.0557,98.4117,90.5262,87.9607,86.2368,87.554,85.079,85.5433,-9653.46,-11308.9,0.0985985,-8171.77,-9821.91
88,89.71,84.9391,85.4607,95.121,95.0849,91.7666,89.9853,88.5216,89.1426,89.6138,85.377,98.9765,90.9874,88.1997,86.6393,87.5852,84.9852,85.5928,-7986.41,-10357.9,0.096163,-6367.51,-8732.05
89,89.8212,84.4836,85.5578,95.2303,94.766,91.3682,90.0687,88.6278,89.2676,89.7327,84.8019,98.7423,90.6518,88.1684,86.6753,87.3762,84.6911,85.6241,-9110.2,-11614,0.0884825,-7856.46,-10324.8
90,89.9334,84.6422,85.6825,95.0357,94.2935,91.7889,89.8715,88.5464,89.3114,89.8459,84.8306,98.4508,90.7969,88.1867,86.4473,87.5476,84.686,85.8236,-8590.76,-10727.2,0.0874366,-7254.32,-9318.46
91,89.9056,84.5556,85.5844,94.8659,94.8217,91.389,90.1635,88.4699,89.0812,89.8047,84.9038,98.3697,90.6741,88.1231,86.4961,87.284,84.6561,85.5623,-9547.36,-11210.9,0.100958,-8395.5,-10030.8
92,89.8787,84.7786,85.6985,94.939,95.0353,91.6312,89.9172,88.5388,89.5458,89.7918,85.0426,98.4105,91.0814,88.2895,86.5874,87.6788,84.7335,85.891,-9103.84,-11958.5,0.0869697,-7587.99,-10424.2
93,89.6551,84.6512,85.5486,94.8725,94.7939,91.6849,89.9176,88.5482,88.9326,89.5476,84.7092,98.5137,90.9046,88.4047,86.3167,87.3612,84.3767,85.6089,-7798.92,-10615,0.107521,-6416.52,-9208.18
