iteration,total_runs,obs_realization,par_realization,heads1,heads3,streams,headiff,pstreams
0,200,167,167,1735.37,1498.33,68.653,97.871,0
0,200,168,168,437.384,319.321,162.789,742.851,0
0,200,169,169,3056.74,1961.05,8.7825,3622.53,0
0,200,170,170,774.619,475.572,17.6511,189.515,0
0,200,171,171,764.121,510.151,293.299,348.279,0
0,200,172,172,91.4161,302.883,46.5643,9742.58,0
0,200,173,173,1687.1,711.125,4.34455,2541.68,0
0,200,174,174,206.673,363.9,462.525,13926.8,0
0,200,175,175,393.322,492.267,15.4091,6040.18,0
0,200,176,176,262.847,260.756,77.352,657.933,0
0,200,177,177,357.81,188.814,46.7565,41600.5,0
0,200,178,178,2808.8,1425.58,201.95,147.025,0
0,200,179,179,74.1113,156.155,94.6588,421.012,0
0,200,180,180,681.528,437.602,211.8,833.266,0
0,200,181,181,593.802,438.913,69.5194,991.66,0
0,200,182,182,455.457,445.341,4.12774,210.564,0
0,200,183,183,259.54,410.34,268.817,581.009,0
0,200,184,184,1070.19,685.446,32.1837,2817.47,0
0,200,185,185,1081.78,678.625,9.31261,1043.01,0
0,200,186,186,734.686,1053.98,117.129,242.353,0
0,200,187,187,435.922,360.966,10.1851,106814,0
0,200,188,188,715.955,813.501,27.8784,276.313,0
0,200,189,189,148.427,415.125,47.3263,25.0286,0
0,200,190,190,671.751,935.902,67.6154,10913.1,0
0,200,191,191,322.988,112.082,212.588,418.863,0
0,200,192,192,2438.07,1039.08,305.912,2307.02,0
0,200,193,193,890.632,284.651,26.3407,3939.27,0
0,200,194,194,492.973,517.819,99.7542,9462.9,0
0,200,195,195,608.355,437.812,275.033,1101.79,0
0,200,196,196,2124.77,1060.33,14.6639,12831.1,0
0,200,197,197,312.038,531.3,495.614,851.772,0
0,200,198,198,38.8048,188.914,222.215,4699.16,0
0,200,base,base,0.0948018,1.87238,0.0285478,0.0134918,0
1,456,0,0,146.866,143.051,20.5227,413.572,0
1,456,1,1,12.1155,87.2174,7.4011,1447.11,0
