ICPL	Kx
724	12.71069
725	12.82256
726	12.518
727	12.82171
728	12.69296
729	12.53993
730	12.45094
731	12.34694
732	0.967191
733	0.9416785
734	1.021821
735	0.9594066
736	1.010529
737	0.9883685
738	0.9846773
739	1.131
740	1.239802
741	1.301987
742	1.200593
743	1.256597
744	1.088334
745	1.179359
746	1.362975
747	1.421992
748	1.312125
749	1.366327
750	1.478325
751	1.529636
752	1.416725
753	1.4661
754	1.272429
755	1.363864
756	1.078108
757	1.21111
758	1.578684
759	1.62293
760	1.511965
761	1.553496
762	1.640477
763	1.453247
764	1.490821
765	1.400156
766	1.436587
767	1.525141
768	1.553976
769	1.469171
770	1.497258
771	1.681826
772	1.686399
773	1.576592
774	1.592677
775	1.520342
776	1.540585
777	1.599706
778	1.603527
779	1.547985
780	1.555707
781	1.350369
782	1.410676
783	1.275156
784	1.329637
785	1.459873
786	1.503771
787	1.512159
788	1.461382
789	1.474855
790	1.37282
791	1.412412
792	1.666872
793	1.63004
794	1.579234
795	1.564928
796	1.541766
797	1.519341
798	1.523207
799	1.485327
800	1.490269
801	1.52388
802	1.522095
803	1.495445
804	1.498148
805	1.441028
806	1.468181
807	1.479169
808	1.448546
809	1.459766
810	1.510628
811	1.497273
812	1.479058
813	1.483048
814	1.430294
815	1.289445
816	1.468002
817	1.402722
818	1.127285
819	0.8822026
820	1.029237
821	1.400404
822	1.892195
823	2.656531
824	2.717072
825	2.553218
826	3.469521
827	6.048756
828	13.30362
829	32.28236
830	56.62731
831	72.31333
832	66.03575
833	44.9679
834	29.36643
835	19.47932
836	13.8317
837	10.84906
838	8.784554
839	6.931569
840	5.830971
841	5.543739
842	6.42566
843	10.32571
844	13.28066
845	8.831846
846	6.180111
847	7.074928
848	8.558871
849	11.19902
850	13.60524
851	12.63414
852	12.38202
853	12.26749
854	12.22581
855	12.10618
856	11.96284
857	11.85618
858	11.67158
859	11.64829
860	11.54542
861	11.3702
862	11.28133
863	10.98651
864	11.0644
865	11.08803
866	11.01294
867	10.80313
868	10.7415
869	10.4515
870	10.51673
871	10.46814
872	10.22993
873	10.1939
874	0.9343121
875	1.033303
876	1.208164
877	1.293455
878	1.100881
879	1.167047
880	1.380299
881	1.422236
882	1.436941
883	1.390322
884	1.407764
885	1.318904
886	1.36292
887	1.382834
888	1.334112
889	1.355906
890	1.442736
891	1.471229
892	1.403236
893	1.452333
894	1.2556
895	1.303461
896	1.326476
897	1.27127
898	1.294195
899	1.18442
900	1.232383
901	1.255499
902	1.195525
903	1.219644
904	1.349984
905	1.412459
906	1.276112
907	1.343498
908	1.522003
909	1.538852
910	1.51274
911	1.644668
912	1.528395
913	1.778821
914	1.265501
915	0.8107864
916	0.9648262
917	0.9938216
918	1.324866
919	1.645881
920	2.724229
921	5.131398
922	10.87149
923	24.87832
924	51.43228
925	101.3776
926	100.2832
927	57.65954
928	36.40379
929	24.74794
930	17.2058
931	10.17429
932	7.621066
933	8.688803
934	8.166404
935	6.206005
936	5.969091
937	10.19918
938	14.69962
939	17.50573
940	19.74212
941	14.61483
942	13.03474
943	11.12403
944	9.158969
945	9.229304
946	9.617273
947	9.843099
948	9.943696
949	9.919683
950	9.65888
951	9.646314
952	9.246533
953	9.376238
954	9.353101
955	9.080717
956	9.085104
957	8.431785
958	8.639496
959	8.806293
960	8.820231
961	8.500824
962	8.559183
963	8.084669
964	8.191231
965	8.189108
966	7.949981
967	8.030035
968	0.9661515
969	0.9364251
970	0.9950883
971	1.03191
972	0.8951518
973	0.897899
974	1.111155
975	1.157851
976	1.178856
977	1.116954
978	1.136085
979	1.030921
980	1.075062
981	1.092011
982	1.032769
983	1.047372
984	1.192281
985	1.248236
986	1.11077
987	1.131464
988	1.063407
989	1.080928
990	1.13818
991	0.9534871
992	0.9758909
993	0.8783358
994	0.8940888
995	1.016201
996	1.030497
997	0.9727016
998	0.9834284
999	1.028478
1000	0.9279555
1001	0.9362387
1002	0.8855306
1003	0.8910658
1004	0.9212652
1005	1.283598
1006	1.370209
1007	1.004677
1008	1.050742
1009	1.294325
1010	1.527015
1011	1.364194
1012	1.066843
1013	1.014602
1014	0.9310293
1015	1.205661
1016	1.773278
1017	2.980652
1018	5.265999
1019	9.989993
1020	20.38572
1021	42.54843
1022	84.68972
1023	86.50009
1024	50.66163
1025	32.83167
1026	24.6779
1027	19.14492
1028	13.44378
1029	11.17761
1030	11.94723
