ppname	easting	northing	zone	kx1	kx2	kx3	rch
pp092	8753.061	5809.522	1	  5.6489940E+00	  1.5224960E-01	  4.8471340E+00	  2.3575215E-04
pp093	286.557	9723.042	1	  4.7052310E+00	  9.9571477E-02	  4.3618140E+00	  2.5313474E-04
pp094	2639.785	9671.885	1	  4.8094390E+00	  9.9329215E-02	  4.6257770E+00	  2.3723054E-04
pp095	4276.813	9646.306	1	  4.6139300E+00	  9.9316989E-02	  3.7598240E+00	  2.5280281E-04
pp096	7064.876	9825.356	1	  5.0761790E+00	  1.3231500E-01	  3.2169190E+00	  1.7158138E-04
pp097	7781.076	8827.792	1	  5.8484540E+00	  1.4676560E-01	  7.5404030E+00	  1.5330484E-04
pp098	7064.876	8444.114	1	  4.7894760E+00	  1.2367960E-01	  7.2261770E+00	  1.6749044E-04
pp099	7013.719	5962.993	1	  4.5792200E+00	  1.7520220E-01	  2.2945110E+00	  1.4401761E-04
pp100	7320.662	5758.364	1	  4.7017270E+00	  1.8914030E-01	  2.5952220E+00	  1.4691273E-04
pp101	6502.148	7088.45	1	  4.4112730E+00	  1.2006610E-01	  5.1995600E+00	  1.6203673E-04
pp102	2946.727	4249.229	1	  4.6922530E+00	  1.1526470E-01	  2.9479240E+00	  1.4860594E-04
pp103	3560.613	3047.037	1	  4.8939490E+00	  1.5190730E-01	  2.6849440E+00	  1.3520641E-04
pp104	3381.563	3507.451	1	  4.8702750E+00	  1.3621240E-01	  2.3829420E+00	  1.3486916E-04
pp105	1463.171	2381.994	1	  2.9646620E+00	  9.1596896E-02	  5.3420730E+00	  1.4334936E-04
pp106	4021.027	2356.416	1	  4.9636180E+00	  1.9473590E-01	  3.9682310E+00	  1.5145572E-04
pp107	4660.491	4198.072	1	  5.3752560E+00	  1.6510040E-01	  3.9645800E+00	  1.5845392E-04
pp108	5530.162	4479.436	4	  7.5731860E+00	  1.1988200E-01	  5.2009810E+00	  2.5489077E-04
pp109	6655.619	4786.379	4	  1.2262140E+01	  1.5450300E-01	  4.0412310E+00	  2.5371502E-04
pp110	1284.121	5937.414	1	  3.1286210E+00	  9.0802498E-02	  2.2123230E+00	  1.7620788E-04
pp111	2281.685	5681.629	4	  4.2025570E+00	  9.8777311E-02	  4.9982920E+00	  2.6305453E-04
pp112	3151.356	5400.265	4	  5.2990410E+00	  1.0454650E-01	  4.5527830E+00	  2.5992795E-04
pp113	3995.449	5349.107	4	  6.3785800E+00	  1.0874250E-01	  4.5748300E+00	  2.4679345E-04
pp114	4941.855	5272.372	4	  6.3172130E+00	  1.0887620E-01	  5.0450600E+00	  2.4584292E-04
pp115	6016.155	5246.793	4	  8.6240680E+00	  1.3038920E-01	  4.7494610E+00	  2.5878499E-04
pp116	5146.484	4505.015	4	  7.1729250E+00	  1.1480110E-01	  5.4266470E+00	  2.5025904E-04
pp117	5376.691	4888.693	4	  7.1594870E+00	  1.1746030E-01	  5.3105150E+00	  2.4862187E-04
pp118	5913.841	4505.015	4	  8.6139450E+00	  1.2918570E-01	  4.7285260E+00	  2.5987044E-04
pp119	6118.469	4888.693	4	  9.7507930E+00	  1.4018910E-01	  4.4761470E+00	  2.5887000E-04
pp120	6425.412	4991.008	4	  1.1318070E+01	  1.5086900E-01	  4.1253280E+00	  2.5503091E-04
pp121	2869.992	4607.329	4	  5.2159140E+00	  1.0514380E-01	  4.6604400E+00	  2.6197556E-04
pp122	1667.799	4351.543	4	  4.2252250E+00	  9.8600994E-02	  5.6310470E+00	  2.6343567E-04
pp123	977.178	4249.229	4	  4.3627330E+00	  9.9247030E-02	  5.4933810E+00	  2.6429567E-04
pp124	798.128	6116.464	4	  4.1949120E+00	  9.9203428E-02	  4.9581470E+00	  2.6863250E-04
