  days     volume       vol_drain     vol_macro      delta_vol      del_vol_drain  del_vol_macro  rainfall       irrigation     recharge       macro_rech     total_rech     gw_withdrawal  net_recharge   runoff         pot_evap       evaporation    gw_pot_evap     balance        elevation      depth-to-water
  1035  0.3154573      0.4475584E-02   0.000000      0.4485638E-03 -0.9831431E-03   0.000000      0.3700000E-01   0.000000      0.1041543E-01   0.000000      0.1041543E-01   0.000000      0.1041543E-01   0.000000      0.2082000      0.2711915E-01  0.1810809      0.2255141E-15   15.17497       84.82502    
  1066  0.3145934      0.3764179E-02   0.000000     -0.8639267E-03 -0.7114041E-03   0.000000      0.3260000E-01   0.000000      0.8511346E-02   0.000000      0.8511346E-02   0.000000      0.8511346E-02   0.000000      0.2011000      0.2566399E-01  0.1754360      0.7849624E-16   15.17497       84.82502    
  1097  0.3381668      0.1627924E-01   0.000000      0.2357337E-01  0.1251506E-01   0.000000      0.7950000E-01   0.000000      0.1775586E-01   0.000000      0.1775586E-01   0.000000      0.1775586E-01   0.000000      0.1812000      0.2565571E-01  0.1555443      0.1457168E-15   15.17497       84.82502    
  1125  0.3628584      0.1403566E-01   0.000000      0.2469160E-01 -0.2243582E-02   0.000000      0.6820000E-01   0.000000      0.2381339E-01   0.000000      0.2381339E-01   0.000000      0.2381339E-01   0.000000      0.1569000      0.2193860E-01  0.1349614      0.1075529E-15   15.17497       84.82502    
  1156  0.3340854      0.1183802E-01   0.000000     -0.2877293E-01 -0.2197640E-02   0.000000      0.2740000E-01   0.000000      0.3535318E-01   0.000000      0.3535318E-01   0.000000      0.3535318E-01   0.000000      0.1590000      0.2301739E-01  0.1359826      0.5186823E-15   15.17497       84.82502    
  1186  0.3090149      0.4378765E-02   0.000000     -0.2507052E-01 -0.7459256E-02   0.000000      0.1200000E-02   0.000000      0.1854178E-01   0.000000      0.1854178E-01   0.000000      0.1854178E-01   0.000000      0.1151000      0.1518800E-01  0.9991201E-01  0.4753142E-15   15.17497       84.82502    
  1217  0.3130781      0.4850641E-02   0.000000      0.4063210E-02  0.4718756E-03   0.000000      0.2180000E-01   0.000000      0.8260055E-02   0.000000      0.8260055E-02   0.000000      0.8260055E-02   0.000000      0.7000000E-01  0.9004860E-02  0.6099514E-01  0.1942890E-15   15.17497       84.82502    
  1247  0.3019216      0.3176177E-02   0.000000     -0.1115646E-01 -0.1674464E-02   0.000000      0.3400000E-02   0.000000      0.8870118E-02   0.000000      0.8870118E-02   0.000000      0.8870118E-02   0.000000      0.5790000E-01  0.7360811E-02  0.5053919E-01  0.9163677E-15   15.17497       84.82502    
  1278  0.3442768      0.1670910E-01   0.000000      0.4235514E-01  0.1353292E-01   0.000000      0.7980000E-01  0.9818417E-03  0.1485431E-01   0.000000      0.1485431E-01  0.3927367E-03  0.1446157E-01   0.000000      0.7130000E-01  0.1003947E-01  0.6126053E-01 -0.4787837E-15   15.17497       84.82502    
  1309  0.3581437      0.7085902E-02   0.000000      0.1386690E-01 -0.9623194E-02   0.000000      0.4750000E-01   0.000000      0.2609190E-01   0.000000      0.2609190E-01   0.000000      0.2609190E-01   0.000000      0.1262000      0.1716440E-01  0.1090356     -0.5759282E-15   15.17497       84.82502    
  1339  0.3660539      0.2234921E-01   0.000000      0.7910199E-02  0.1526331E-01   0.000000      0.6840000E-01   0.000000      0.2414009E-01   0.000000      0.2414009E-01   0.000000      0.2414009E-01   0.000000      0.1436000      0.2108640E-01  0.1225136     -0.5447032E-15   15.17497       84.82502    
  1370  0.3456626      0.9621311E-02   0.000000     -0.2039129E-01 -0.1272790E-01   0.000000      0.3560000E-01   0.000000      0.4012768E-01   0.000000      0.4012768E-01   0.000000      0.4012768E-01   0.000000      0.2018000      0.2859151E-01  0.1732085      0.3469447E-17   15.17497       84.82502    
  1400  0.3917853      0.5656732E-01   0.000000      0.4612273E-01  0.4694601E-01   0.000000      0.1465000       0.000000      0.2513723E-01   0.000000      0.2513723E-01   0.000000      0.2513723E-01   0.000000      0.1894000      0.2829403E-01  0.1611060      0.5134781E-15   15.17497       84.82502    
  1431  0.3609423      0.2762359E-01   0.000000     -0.3084300E-01 -0.2894374E-01   0.000000      0.7980000E-01   0.000000      0.1068529       0.000000      0.1068529       0.000000      0.1068529       0.000000      0.2118000      0.3273389E-01  0.1790661      0.6175616E-15   15.17497       84.82502    
  1462  0.3447940      0.1541336E-01   0.000000     -0.1614831E-01 -0.1221023E-01   0.000000      0.5510000E-01   0.000000      0.4703029E-01   0.000000      0.4703029E-01   0.000000      0.4703029E-01   0.000000      0.2506000      0.3642825E-01  0.2141718      0.1075529E-15   15.17497       84.82502    
  1490  0.3494004      0.2177499E-01   0.000000      0.4606414E-02  0.6361624E-02   0.000000      0.7530000E-01   0.000000      0.4318327E-01   0.000000      0.4318327E-01   0.000000      0.4318327E-01   0.000000      0.1404000      0.2114869E-01  0.1192513     -0.6938894E-17   15.17497       84.82502    
  1521  0.3528521      0.2490200E-01   0.000000      0.3451640E-02  0.3127017E-02   0.000000      0.2073000       0.000000      0.1787427       0.000000      0.1787427       0.000000      0.1787427       0.000000      0.1382000      0.2197867E-01  0.1162213     -0.6140921E-15   15.17497       84.82502    
  1551  0.3306375      0.8833039E-02   0.000000     -0.2221458E-01 -0.1606896E-01   0.000000      0.1790000E-01   0.000000      0.3824298E-01   0.000000      0.3824298E-01   0.000000      0.3824298E-01   0.000000      0.1276000      0.1794057E-01  0.1096594     -0.3157197E-15   15.17497       84.82502    
  1582  0.3179566      0.6116386E-02   0.000000     -0.1268087E-01 -0.2716653E-02   0.000000      0.1640000E-01   0.000000      0.1840689E-01   0.000000      0.1840689E-01   0.000000      0.1840689E-01   0.000000      0.9860000E-01  0.1339063E-01  0.8520937E-01  0.1621966E-15   15.17497       84.82502    
  1612  0.3018081      0.3340229E-02   0.000000     -0.1614854E-01 -0.2776156E-02   0.000000      0.3300000E-02   0.000000      0.1054349E-01   0.000000      0.1054349E-01   0.000000      0.1054349E-01   0.000000      0.9140000E-01  0.1168120E-01  0.7971880E-01 -0.1413800E-15   15.17497       84.82502    
  1643  0.3000000      0.2631338E-02   0.000000     -0.1808067E-02 -0.7088916E-03   0.000000      0.7500000E-02  0.8724887E-02  0.6388824E-02   0.000000      0.6388824E-02  0.3489955E-02  0.2898869E-02   0.000000      0.9960000E-01  0.1235302E-01  0.8724698E-01 -0.9983334E-15   15.17497       84.82502    
  1674  0.3000000      0.2628976E-02   0.000000       0.000000     -0.2361711E-05   0.000000       0.000000      0.2204391E-01  0.5435579E-02   0.000000      0.5435579E-02  0.8817566E-02 -0.3381987E-02   0.000000      0.1344000      0.1661070E-01  0.1177893     -0.2727419E-14   15.17497       84.82502    
  1704  0.3030211      0.2642299E-02   0.000000      0.3021080E-02  0.1332339E-04   0.000000      0.1220000E-01  0.2067754E-01  0.5393695E-02   0.000000      0.5393695E-02  0.8271015E-02 -0.2877320E-02   0.000000      0.1974000      0.2444944E-01  0.1729506     -0.2193124E-14   15.17497       84.82502    
  1735  0.3469055      0.4615141E-02   0.000000      0.4388441E-01  0.1972842E-02   0.000000      0.6770000E-01  0.1102800E-01  0.5818348E-02   0.000000      0.5818348E-02  0.4411199E-02  0.1407149E-02   0.000000      0.2140000      0.2705240E-01  0.1869476     -0.9081277E-15   15.17497       84.82502    
