 point             x              y          zone  nugget  sill           a         hanis     bearing
 PP260            6029.674       5747.344      23  0.0     1.0            727.429   1.0       0.0
 PP261            6511.295       5597.875      23  0.0     1.0            691.234   1.0       0.0
 PP262            6660.764       5747.344      23  0.0     1.0            690.688   1.0       0.0
 PP263            6909.879       5564.660      23  0.0     1.0            613.896   1.0       0.0
 PP264            7042.740       5431.799      23  0.0     1.0            634.177   1.0       0.0
 PP265            7707.045       5581.267      23  0.0     1.0            630.113   1.0       0.0
 PP266            7989.375       5763.951      23  0.0     1.0            638.408   1.0       0.0
 PP267            8321.528       5747.344      23  0.0     1.0            591.735   1.0       0.0
 PP268            8670.289       5564.660      23  0.0     1.0            655.407   1.0       0.0
 PP269            8936.011       5979.851      23  0.0     1.0            931.245   1.0       0.0
 PP270            8470.997       6295.396      23  0.0     1.0            858.770   1.0       0.0
 PP271            8703.504       6644.156      23  0.0     1.0            870.080   1.0       0.0
 PP272            8869.580       7158.993      23  0.0     1.0            778.673   1.0       0.0
 PP273            8720.112       7225.424      23  0.0     1.0            790.418   1.0       0.0
 PP274            8454.389       6976.309      23  0.0     1.0            846.813   1.0       0.0
 PP275            9234.948       7026.132      23  0.0     1.0            977.793   1.0       0.0
 PP276            9168.518       7408.108      23  0.0     1.0            824.671   1.0       0.0
 PP277            9002.441       7806.691      23  0.0     1.0            799.391   1.0       0.0
 PP278            9168.518       7956.160      23  0.0     1.0            912.271   1.0       0.0
 PP279            8537.427       8437.782      23  0.0     1.0           1005.381   1.0       0.0
 PP280            8155.452       8936.011      23  0.0     1.0            911.073   1.0       0.0
 PP281            8803.150       9234.948      23  0.0     1.0            979.259   1.0       0.0
 PP282            8172.059       9301.379      23  0.0     1.0            784.278   1.0       0.0
 PP283            7839.907       9284.771      23  0.0     1.0            748.255   1.0       0.0
 PP284            7590.792       9567.101      23  0.0     1.0            806.892   1.0       0.0
 PP285            7142.386       9052.264      23  0.0     1.0            872.995   1.0       0.0
 PP286            6594.334       9533.886      23  0.0     1.0            947.555   1.0       0.0
 PP287            5996.458       9600.316      23  0.0     1.0           1054.721   1.0       0.0
 PP288            6743.802       9650.139      23  0.0     1.0            962.209   1.0       0.0
 PP289            7208.816       9450.848      23  0.0     1.0            817.407   1.0       0.0
 PP290            7491.146       9417.632      23  0.0     1.0            788.013   1.0       0.0
