real_name,h1-3892_1,h1-1664_1,h1-162_1,h3-3521_1,h3-3988_1,h3-3417_1,h3-3829_1,h3-3357_1,h3-3594_1,h3-3892_1,h3-1152_1,h3-313_1,h3-209_1,h3-331_1,h3-707_1,h3-3956_1,h3-2270_1,h3-521_1,trib_1,total_1,dh3892_1,p-trib_1,p-total_1
39,89.8215,84.7764,85.5315,95.4433,94.6077,91.7528,90.2523,88.7797,89.3079,89.7219,84.8298,98.5348,90.3504,88.2528,86.1087,87.3077,84.852,85.3695,-8433.18,-10932.3,0.0996336,-6751.2,-9223.89
40,89.7617,84.7869,85.608,95.2,94.4892,91.6991,90.1661,88.695,89.4833,89.6582,84.9937,98.7087,90.4998,88.2001,86.6418,87.4925,84.5449,85.493,-8490.61,-11713.3,0.103546,-6906.83,-10089.9
41,89.7076,84.8446,85.3139,95.2194,94.7466,91.3875,90.2217,88.6994,89.4069,89.6065,84.8897,98.6902,90.4667,88.6901,86.6138,87.5039,84.9211,85.6527,-9001.25,-12332.7,0.101117,-7236.95,-10557.2
42,89.8467,84.4948,85.5506,95.4357,94.6245,91.8877,90.1086,88.7801,89.3742,89.7323,85.1331,98.7426,91.1155,88.6674,86.6482,87.3779,84.7404,85.7586,-8246.16,-12901.9,0.114496,-6429.15,-11064
43,89.7947,84.8676,85.7142,95.744,94.8536,91.798,90.4418,88.9458,89.294,89.7103,85.0885,98.7982,90.5838,88.5306,86.4523,87.223,84.9028,85.6367,-8984.78,-12094.4,0.0843432,-7867.08,-10908.4
44,89.7329,84.4542,85.2568,95.2158,94.7491,91.5626,90.3372,88.82,89.3528,89.6161,84.7247,98.6566,90.8969,88.6412,86.2141,87.5573,84.7285,85.352,-7656.24,-12705.4,0.116875,-6287.94,-11306.1
45,89.8048,84.597,85.8249,95.1761,94.8474,91.3526,89.8435,88.5456,89.1107,89.7197,84.8524,98.8569,90.395,88.2003,86.5008,87.4486,85.044,85.5126,-8611.78,-11000.6,0.0850274,-7176.48,-9534.65
46,89.7615,84.4708,85.5941,95.5061,94.7268,91.7726,90.1798,88.5642,89.4009,89.6514,84.751,98.772,90.949,88.6911,86.6246,87.5585,84.5035,85.231,-8736.38,-12608.9,0.110154,-7339.04,-11183.7
47,89.5826,84.7642,85.6831,95.3663,94.8512,91.5002,89.7487,88.6024,89.003,89.4759,85.2144,98.4979,90.9829,88.4983,86.3843,87.3729,84.6701,85.6588,-8410.54,-10840.1,0.106758,-6756.11,-9170.52
48,89.4347,84.6077,85.536,95.5367,94.5509,91.341,89.6614,88.451,89.1383,89.3417,84.8313,98.535,90.8252,88.8996,86.6082,87.3409,84.985,85.8273,-7984.71,-10827.1,0.0930296,-6152.22,-8978.64
