ppname	easting	northing	zone	kx1	sy1	kz2	kx3	ss3
pp087	3267.949706	3804.425461	1	         1.2091740E+01	         2.1727650E-01	         5.6856428E-02	         2.1934960E+01	         1.7064360E-06
pp088	3635.818795	3099.3430399999997	1	         2.6759380E+01	         2.1064130E-01	         5.1715340E-01	         5.3861840E+01	         7.0938374E-06
pp089	4356.229093999999	2777.4575870000003	1	         2.6300060E+01	         5.5083650E-01	         2.8484800E-01	         4.3594210E+01	         3.9191873E-05
pp090	4954.016364	3467.212129	1	         5.3938350E+00	         3.2598440E-01	         6.3119220E-01	         3.5795610E+02	         5.6628400E-06
pp091	5659.098784000001	3084.015162	1	         3.6947470E+01	         4.4034000E-01	         1.0227260E+00	         1.3645590E+02	         2.5360292E-06
pp092	6640.083022	3712.458189	1	         3.9628680E+01	         2.2220830E-01	         1.0835880E+00	         4.1310710E+01	         1.1662871E-05
pp093	6839.345445	2823.4412239999997	1	         2.9033230E+01	         2.2211600E-01	         2.2564740E-01	         1.2189010E+02	         5.6027913E-06
pp094	6992.624231999999	1980.4078949999998	1	         1.8652150E+01	         3.1179410E-01	         1.1068390E-01	         2.5472120E+02	         1.4292851E-05
pp095	5122.62303	815.4891129	1	         3.7087280E+00	         3.4573330E-01	         3.8269440E-01	         8.3464950E+01	         2.7224913E-05
pp096	4908.032728	1382.620625	1	         4.0071250E+00	         3.8608700E-01	         4.2124030E-01	         7.0186750E+01	         6.1643466E-06
pp097	4586.147275	2149.01456	1	         2.4978780E+01	         3.3172360E-01	         4.4204340E-01	         9.4019430E+01	         2.2752427E-05
pp098	3865.7369759999997	1842.456986	1	         3.6351650E+01	         5.0654320E-01	         2.5624500E-01	         4.1872420E+01	         1.2424232E-05
pp099	3881.0648539999997	1076.063051	1	         6.0310610E+00	         4.1347360E-01	         3.1591990E-01	         6.2582240E+01	         7.0258510E-06
pp100	5383.196968	2286.965469	1	         1.0417050E+01	         3.8424390E-01	         2.4247590E-01	         8.1913400E+01	         1.0302514E-05
pp101	6149.590903	1719.833957	1	         8.1333290E+00	         3.6213500E-01	         2.4623360E-01	         1.6547960E+02	         1.9157253E-05
pp102	6992.624231999999	1581.8830480000001	1	         2.6799380E+01	         4.5922620E-01	         9.1650365E-02	         1.2112210E+02	         1.8720557E-06
pp103	7743.690289	3436.556372	1	         3.2518080E+00	         2.6850540E-01	         3.8214120E-01	         8.1917310E+01	         5.9160474E-06
pp104	7191.886654999999	3497.867887	1	         1.0053240E+01	         2.2148150E-01	         2.4372310E-01	         9.6271450E+00	         9.3027173E-06
pp105	6134.263024	2685.490315	1	         2.3087930E+01	         2.5208880E-01	         4.6585970E-01	         8.2608630E+01	         2.0207976E-05
pp106	4908.032728	2900.080617	1	         2.3747870E+01	         3.9936230E-01	         5.0713320E-01	         2.0947050E+02	         6.6872875E-06
pp107	5540.679325	7953.955338	1	         5.0714010E+01	         3.6178650E-01	         1.1400510E-01	         8.8200700E+01	         3.2322979E-06
pp108	6595.663374000001	8270.450552	1	         1.4053240E+02	         3.1514720E-01	         2.3243530E-01	         1.6173600E+02	         2.0552600E-06
pp109	7070.406197	7360.526809999999	1	         9.6198740E+01	         4.9537410E-01	         1.3642440E-01	         5.1138960E+02	         9.2920571E-05
pp110	6674.7871780000005	6648.412577	1	         5.8144050E+01	         3.5464470E-01	         1.5494340E-01	         3.6422430E+02	         3.5516406E-05
pp111	7769.333129000001	7030.844295	1	         4.8774780E+02	         2.2310560E-01	         5.7164156E-02	         3.1700250E+02	         1.1733686E-05
pp112	7901.206134999999	8059.453743000001	1	         6.1086780E+01	         4.8752420E-01	         6.0108460E-01	         2.6050710E+02	         8.1597590E-05
pp113	8863.879079999999	8534.196565	1	         2.4994390E+02	         2.5023810E-01	         5.6183960E-01	         9.1232730E+02	         1.0338142E-05
pp114	9180.374295	7993.517240000001	1	         1.6579640E+02	         3.5891150E-01	         9.3575374E-02	         4.7139840E+02	         1.4280529E-05
pp115	9233.123497	7558.336319	1	         5.7198060E+01	         4.3032160E-01	         3.6976062E-02	         8.7704880E+01	         9.1903650E-06
pp116	9061.688589	6885.783987999999	1	         1.2553660E+01	         3.9956070E-01	         4.2338077E-02	         6.5468540E+01	         3.2455989E-06
pp117	8850.69178	6213.231657	1	         9.6965650E+00	         3.5862200E-01	         3.4383550E-01	         1.1587290E+02	         2.1175336E-05
pp118	8652.88227	5540.679325	1	         2.9245310E+00	         5.1713830E-01	         8.7244235E-02	         7.4198220E+01	         2.2894176E-05
pp119	7263.384778000001	541.8178611000001	1	         4.2104810E+01	         2.0004270E-01	         5.7661095E-02	         8.0859430E+01	         2.2577586E-06
pp120	7514.871976	1547.766651	1	         2.8321520E+01	         2.6518070E-01	         7.4612991E-02	         2.6109250E+01	         4.0204722E-06
pp121	7743.496701000001	2325.090717	1	         4.2111840E+01	         4.2455580E-01	         1.1504660E-01	         1.5448400E+02	         7.7549590E-06
pp122	7994.983898	3033.827364	1	         2.2673480E+01	         4.0887800E-01	         1.7124920E-01	         8.1012100E+01	         1.6877613E-05
pp123	8246.471096	3513.9392869999997	1	         6.1526940E+00	         5.4712530E-01	         2.1062650E-01	         9.1336430E+01	         1.2017386E-05
pp124	2241.3876149999996	9742.54595	1	         9.9843490E+00	         1.1146250E-01	         5.3772540E-01	         8.8987770E+00	         1.6334362E-05
pp125	2165.809193	8911.183313	1	         1.0323710E+01	         9.4009610E-02	         4.5265480E-01	         6.5025440E+00	         1.1045461E-04
pp126	2392.544458	8249.872125	1	         6.3436140E+00	         1.5357500E-01	         2.5317518E-02	         1.2937970E+01	         3.7417167E-05
pp127	2505.91209	7531.8771209999995	1	         8.0838490E+00	         7.2212789E-02	         2.8496118E-02	         1.6213470E+01	         1.1819607E-05
pp128	2694.8581440000003	6643.830668	1	         3.9289730E+00	         1.3865830E-01	         5.0285753E-02	         3.0477720E+01	         4.2607858E-06
pp129	1580.076427	219.66483939999998	1	         3.5069180E+01	         2.3248310E-01	         2.3794990E-01	         7.3084800E+01	         1.3343292E-05
pp130	1863.495507	1221.078924	1	         2.8253710E+01	         4.1508750E-01	         1.2469787E-02	         4.8671080E+01	         3.9123539E-06
pp131	2090.230772	2222.493009	1	         5.1010220E+01	         2.7447180E-01	         6.6256215E-03	         3.5587090E+01	         9.0619542E-06
pp132	2468.122879	3450.6423590000004	1	         5.0906320E+00	         4.6184890E-01	         3.6786381E-02	         2.0776540E+01	         7.8327673E-06
pp133	1957.968534	465.2947093	1	         1.3155310E+02	         2.5091920E-01	         2.1307120E-01	         3.6491270E+01	         1.1682404E-05
pp134	2184.703799	1428.919584	1	         4.0730340E+01	         4.2389420E-01	         3.5134148E-02	         7.3873560E+01	         7.3978787E-06
pp135	2562.595906	2184.703799	1	         3.7856470E+01	         4.5530040E-01	         2.8873657E-02	         1.3071360E+01	         5.5938968E-06
pp136	2732.647355	2770.436565	1	         3.9090360E+01	         1.7614070E-01	         6.2031854E-02	         6.9645370E+00	         5.0618768E-06
pp137	3129.434068	4111.953547	1	         1.9788330E+01	         2.7221950E-01	         4.5635278E-02	         3.0754810E+01	         1.8880972E-06
pp138	2913.263441	4978.149355	1	         5.2550960E+00	         4.5004490E-01	         2.1529520E-01	         7.5289380E+01	         4.3749446E-06
pp139	3273.799077	4956.298711	1	         3.9400300E+00	         2.6370550E-01	         2.5394600E-01	         7.1838940E+01	         2.1434803E-06
pp140	3688.9613240000003	4890.746777	1	         1.1721940E+01	         2.4151720E-01	         4.5884360E-01	         6.3646500E+01	         2.9665729E-06
pp141	4082.2729270000004	4748.717587	1	         1.2156480E+01	         1.5584020E-01	         1.3503260E-01	         3.3523020E+02	         4.2556641E-06
pp142	6546.785743	3276.0493699999997	1	         3.2708030E+01	         1.8400450E-01	         1.0057400E+00	         6.3598960E+01	         4.5746435E-06
pp143	6982.883926	3316.933575	1	         1.5290710E+01	         1.9674500E-01	         2.1026310E-01	         1.3713490E+01	         4.1187079E-06
pp144	6390.062959000001	2894.46346	1	         4.3402080E+01	         3.3461920E-01	         4.9314630E-01	         4.0050540E+01	         2.1597915E-05
pp145	7139.606711	2301.6424920000004	1	         1.0103140E+01	         2.1947730E-01	         7.8845588E-02	         1.9543100E+02	         1.2619837E-05
pp146	7241.817223	1838.2881719999998	1	         1.9506810E+01	         3.0717600E-01	         1.0998820E-01	         1.2976190E+02	         8.2720314E-06
pp147	7436.143393	2461.2821480000002	1	         1.2935120E+01	         2.2190430E-01	         4.5660520E-01	         8.4080070E+01	         6.9286283E-06
pp148	6105.37524	4032.796665	1	         2.0220900E+01	         3.7994430E-01	         8.2440000E-01	         1.2344240E+02	         1.9209450E-06
pp149	6125.114084000001	3749.873241	1	         3.5214420E+01	         2.7668900E-01	         1.2020920E+00	         4.8854560E+01	         2.5240702E-06
pp150	6658.06286	4249.923944	1	         1.3716770E+01	         2.6704080E-01	         9.5437600E-01	         1.0199120E+02	         1.2426515E-06
pp151	5505.429922	6191.3705310000005	1	         7.9446260E+00	         4.0183510E-01	         2.2360380E-01	         2.0000210E+02	         4.7329380E-06
pp152	6083.064119	5622.761868	1	         1.0280960E+02	         4.1797630E-01	         1.2522560E-01	         2.9788350E+02	         7.1234503E-06
pp153	3023.4079829999996	5938.65557	1	         1.7687370E+00	         1.7781910E-01	         1.2383590E-01	         1.2500660E+02	         2.1915092E-06
pp154	3303.1995469999997	5640.812937	1	         4.4624970E+00	         2.1582910E-01	         4.9548990E-01	         1.2056490E+02	         2.6926875E-06
pp155	2141.91413	6273.603177	1	         5.7608670E+00	         9.6873995E-02	         1.8447179E-02	         2.7915310E+01	         4.2642611E-06
pp156	1710.6941570000001	6313.716663	1	         2.3221050E+01	         6.8097968E-02	         1.2145397E-02	         5.3798070E+01	         6.8679630E-06
pp157	1610.410442	6785.050122	1	         8.8500480E+00	         4.4104913E-02	         2.5558872E-02	         2.0153240E+01	         2.4398250E-05
pp158	1821.006243	7707.660298000001	1	         2.6014620E+01	         9.8387490E-02	         2.4580985E-02	         3.8218120E+01	         6.8062923E-05
pp159	1409.8430130000002	7637.461697	1	         3.7884540E+01	         6.6295862E-02	         5.2922473E-02	         3.4604000E+01	         3.7006833E-05
pp160	1299.530926	7256.383581	1	         2.1129530E+01	         5.7371693E-02	         1.1845949E-02	         2.5411210E+01	         9.8502006E-05
pp161	833.2603157000001	3434.7168380000003	1	         1.9131800E+01	         2.0361230E-01	         2.6373190E-01	         3.5002850E+01	         1.0092393E-05
pp162	1149.256447	3199.556927	1	         7.2130520E+00	         1.9524570E-01	         9.7741757E-02	         7.1669610E+01	         8.1829044E-06
pp163	1413.811348	2935.002026	1	         2.2260150E+01	         2.5890950E-01	         4.2265202E-02	         5.6131490E+01	         7.9601729E-06
pp164	4711.719295	758.1553349999999	1	         7.2395440E+00	         1.5974850E-01	         3.5095040E-01	         2.6033140E+01	         9.8710611E-06
pp165	5066.922307	490.46610860000004	1	         8.0624880E+00	         3.0592500E-01	         4.6156010E-01	         1.2972700E+02	         1.2189665E-05
pp166	5334.611533	500.76184810000007	1	         9.1250530E+00	         3.9773340E-01	         3.8957380E-01	         2.0407620E+02	         3.4582721E-06
pp167	5509.639104	675.7894192000001	1	         6.4517910E+00	         3.7222930E-01	         3.9511970E-01	         2.4293450E+02	         3.0727704E-06
pp168	5819.488485	954.865351	1	         1.5340860E+01	         2.8559420E-01	         2.3330940E-01	         2.3565080E+02	         7.7046554E-06
pp169	5618.975345000001	301.01815550000003	1	         2.9850780E+01	         4.2285890E-01	         3.9656290E-01	         1.0379680E+02	         6.5726806E-06
pp170	4869.230561	222.5564921	1	         3.5383800E+00	         2.5128780E-01	         2.1958770E-01	         1.8458760E+02	         6.8803112E-06
pp171	4424.614468	1652.302359	1	         1.0216950E+01	         4.8089490E-01	         2.2336280E-01	         1.8060200E+02	         1.5805124E-05
pp172	4799.48686	1756.917911	1	         1.8590390E+01	         6.4988420E-01	         2.4680960E-01	         2.4894880E+02	         1.3220161E-05
pp173	4607.691683	1425.635332	1	         1.3150080E+01	         4.4945940E-01	         2.3481880E-01	         1.8750180E+02	         1.7723044E-06
pp174	3884.100786	1521.5329199999999	1	         8.3086100E+00	         4.5977610E-01	         3.1628730E-01	         4.7465500E+01	         7.6709275E-06
pp175	4006.1522630000004	2341.021405	1	         6.9762930E+01	         7.0080390E-01	         3.5621480E-01	         4.1388120E+01	         1.3637619E-05
pp176	4241.537253	1931.277163	1	         9.5706180E+00	         3.3270200E-01	         4.9732270E-01	         7.1755030E+01	         1.3055448E-05
pp177	3367.1019509999996	2284.4681760000003	1	         5.3518170E+01	         2.0605600E-01	         2.5057980E-01	         1.0379970E+01	         1.3005628E-05
pp178	3619.2304670000003	2440.9738	1	         3.1495210E+01	         2.1703340E-01	         4.1382090E-01	         2.1818460E+01	         1.7908096E-05
pp179	4079.486978	2803.0422550000003	1	         6.6336020E+00	         3.6172810E-01	         4.7309130E-01	         5.0264230E+01	         9.2700435E-06
pp180	4073.350225	3220.341491	1	         1.3422270E+01	         1.9556860E-01	         5.0185980E-01	         1.8811590E+02	         4.7689560E-06
pp181	4042.666457	3594.683454	1	         3.8404230E+01	         2.1316910E-01	         3.3631020E-01	         2.7102340E+02	         5.2928434E-06
pp182	3379.897082	3422.8543560000003	1	         1.3675140E+01	         1.4839450E-01	         1.6086740E-01	         3.3490300E+01	         4.1443576E-06
pp183	3858.563853	3754.239044	1	         1.4099310E+01	         1.7131230E-01	         2.2137170E-01	         1.3741960E+02	         5.7120502E-06
pp184	5076.796217	4073.6456340000004	1	         1.7609120E+01	         2.9286590E-01	         1.2310170E+00	         1.6662270E+02	         7.8045334E-06
pp185	4544.022463	3953.651546	1	         3.6874840E+01	         1.6383990E-01	         4.0435880E-01	         1.5758760E+02	         7.9746744E-06
pp186	5468.198243	4034.3411229999997	1	         1.4282480E+01	         3.2490120E-01	         1.7061590E+00	         2.1568590E+02	         3.1273965E-06
pp187	7033.736119	2754.111552	1	         1.1052110E+01	         2.1709810E-01	         2.0114720E-01	         9.4864410E+01	         9.8046626E-06
pp188	7414.147192	2907.739101	1	         4.7525220E+00	         3.8961460E-01	         9.8238552E-02	         1.3945250E+02	         1.0847749E-05
pp189	6982.526936	3039.419857	1	         2.7448820E+01	         2.6918990E-01	         1.4310360E-01	         5.2153780E+01	         3.7885406E-06
pp190	7534.6056069999995	3945.490578	1	         8.4794220E+00	         1.7054690E-01	         5.0108540E-01	         3.2689310E+01	         4.9804920E-06
pp191	7799.415148	3680.681037	1	         6.8818050E+00	         2.6233090E-01	         7.2370370E-01	         5.0277600E+01	         4.8482448E-06
pp192	8050.038464	4082.62409	1	         4.2556080E+00	         3.1868000E-01	         5.1984080E-01	         3.0504640E+01	         2.1405163E-06
pp193	4337.119707	7281.653184000001	1	         8.9890220E+00	         4.0985130E-01	         1.6226760E-01	         1.2401120E+02	         2.6605614E-06
pp194	4620.525049	7497.809801	1	         1.4141650E+01	         4.0406920E-01	         2.1836620E-01	         2.5846560E+02	         2.3226612E-06
pp195	4487.511619	7627.519797	1	         4.4752990E+00	         3.4554420E-01	         2.5811690E-01	         1.1904100E+02	         2.1134463E-06
pp196	4568.858981	8156.277651	1	         7.6670140E+00	         1.8920830E-01	         2.4857830E-01	         1.7711590E+01	         3.1188215E-06
pp197	4105.179017	7887.831356000001	1	         1.2709390E+01	         1.2829840E-01	         1.3320780E-01	         1.9413080E+01	         8.5195203E-07
