ppname	easting	northing	zone	kx1	kx2	kx3	rch
pp104	3381.563	3507.451	1	  2.0739800E-02	  1.2359080E-01	  4.1063180E-01	  1.8595800E-02
pp105	1463.171	2381.994	1	  4.8477400E-02	  2.9336600E-02	  6.8315430E-01	  1.9143800E-02
pp106	4021.027	2356.416	1	  5.6850000E-03	  5.7733500E-01	  1.6160340E-01	  1.0702160E-01
pp107	4660.491	4198.072	1	  2.0527800E-02	  9.1863100E-02	  3.5925310E-01	  4.1148300E-02
pp108	5530.162	4479.436	4	  9.2979300E-02	  1.1480300E-02	  1.9805000E-02	  9.3560000E-04
pp109	6655.619	4786.379	4	  3.9758750E-01	  7.2500800E-02	  6.7549500E-02	  2.6586000E-03
pp110	1284.121	5937.414	1	  1.0000920E-01	  4.6159300E-02	  4.3603010E-01	  1.3568400E-02
pp111	2281.685	5681.629	4	  1.3880990E-01	  7.9136000E-03	  1.7185000E-03	  1.0870000E-04
pp112	3151.356	5400.265	4	  1.3962640E-01	  1.0274900E-02	  3.1241000E-03	  1.4620000E-04
pp113	3995.449	5349.107	4	  1.1802640E-01	  9.5439000E-03	  3.1765000E-03	  4.5920000E-04
pp114	4941.855	5272.372	4	  6.0420200E-02	  1.1294000E-02	  1.0076800E-02	  6.5970000E-04
pp115	6016.155	5246.793	4	  1.8044380E-01	  2.5201900E-02	  3.6298200E-02	  2.1676000E-03
pp116	5146.484	4505.015	4	  8.4986500E-02	  1.3445000E-02	  1.3197900E-02	  5.6970000E-04
pp117	5376.691	4888.693	4	  6.9117700E-02	  1.3310500E-02	  2.0532800E-02	  8.7230000E-04
pp118	5913.841	4505.015	4	  1.7248340E-01	  2.2609500E-02	  2.9513000E-02	  1.9895000E-03
pp119	6118.469	4888.693	4	  2.5746980E-01	  4.1736800E-02	  4.9137700E-02	  2.8716000E-03
pp120	6425.412	4991.008	4	  3.5565010E-01	  6.5496900E-02	  7.0102400E-02	  3.5175000E-03
pp121	2869.992	4607.329	4	  1.6800940E-01	  1.4235400E-02	  3.1463000E-03	  1.1140000E-04
pp122	1667.799	4351.543	4	  1.6755250E-01	  1.3569100E-02	  1.0387500E-02	  7.2800000E-05
pp123	977.178	4249.229	4	  9.9757600E-02	  6.5780000E-03	  9.9382000E-03	  4.8200000E-05
pp124	798.128	6116.464	4	  4.8451300E-02	  1.0695000E-03	  2.1105000E-03	  1.6900000E-05
pp125	5542.952	5899.047	4	  1.6483300E-02	  7.2800000E-04	  9.3479000E-03	  5.6890000E-04
pp126	5542.952	5361.897	4	  4.8001500E-02	  5.5094000E-03	  2.0067900E-02	  8.7680000E-04
pp127	5696.423	3891.129	4	  5.1469800E-02	  2.7013000E-03	  4.9894000E-03	  4.7420000E-04
pp128	6297.519	4351.543	4	  2.1666230E-01	  2.7839400E-02	  2.8106400E-02	  2.2380000E-03
pp129	4174.498	5029.375	4	  1.4037280E-01	  1.3337600E-02	  2.0633000E-03	  4.0320000E-04
pp130	4404.706	5630.472	4	  5.9985300E-02	  4.9984000E-03	  3.6616000E-03	  4.2750000E-04
pp131	5184.852	5477	4	  3.0622300E-02	  4.9238000E-03	  1.3074600E-02	  7.7500000E-04
pp132	5056.959	4927.061	4	  7.6996800E-02	  1.6594700E-02	  1.3254000E-02	  7.2490000E-04
pp133	4698.859	4466.647	4	  1.1391590E-01	  1.3074300E-02	  5.7723000E-03	  2.3140000E-04
pp134	3688.506	4543.383	4	  1.5362000E-01	  1.3504800E-02	  9.2870000E-04	  1.8080000E-04
pp135	7819.444	4786.379	4	  4.9597360E-01	  4.2385900E-02	  7.7709000E-03	  3.8528000E-03
pp136	8510.065	4671.276	4	  4.5613500E-01	  2.8970100E-02	  1.8845000E-03	  4.4168000E-03
pp137	8650.747	5170.057	4	  4.7567910E-01	  2.6843100E-02	  3.7945000E-03	  4.0583000E-03
pp138	8676.326	4274.808	4	  2.8574570E-01	  1.7838200E-02	  8.4520000E-04	  2.4242000E-03
pp139	6514.937	5349.107	4	  2.8866240E-01	  4.5648000E-02	  5.4802700E-02	  2.6718000E-03
pp140	3790.82	5643.261	4	  8.6306600E-02	  5.4719000E-03	  3.3579000E-03	  3.3110000E-04
pp141	4136.131	6135.648	4	  2.1091700E-02	  7.6630000E-04	  2.3847000E-03	  3.1080000E-04
pp142	4948.25	6359.461	4	  2.8374000E-03	  5.9200000E-05	  2.9306000E-03	  3.6350000E-04
pp143	337.714	8974.869	1	  2.3105400E-02	  1.6340000E-03	  1.4171150E-01	  1.8016200E-02
pp144	286.557	8002.883	1	  3.0774500E-02	  1.5439000E-03	  1.6009060E-01	  1.6393800E-02
pp145	286.557	6903.005	1	  4.3004400E-02	  3.6212000E-03	  2.2947500E-01	  9.9577000E-03
pp146	260.978	6058.913	1	  5.4088200E-02	  1.1417200E-02	  3.3767040E-01	  5.1878000E-03
pp147	235.4	4575.356	1	  7.1751400E-02	  2.3653500E-02	  5.2546130E-01	  3.2965000E-03
pp148	286.557	5317.134	1	  6.4706300E-02	  2.1883100E-02	  4.5119230E-01	  3.6404000E-03
