icpl     elevation      conductance     reach
3135      94.24893188    42.9132039  3
3153      88.64907074    47.5677031  3
3154      87.88159943    48.0794643  3
3156      88.81358337    48.2660769  3
3159      88.32791138    48.7826415  3
3160      88.10182953    48.9865408  3
3164      87.60337067    48.4048236  3
3165      87.67176056    48.8504387  3
3166      87.81090546    48.5377397  3
3167      87.22875214    48.1638802  3
3168      87.41751099    48.0042323  3
3605      95.10905457    39.0212667  3
3607      95.31861115    39.3444221  3
3610      95.20740509    39.7021175  3
3613      94.97933960    39.8996430  3
3614      94.65171814    40.0142243  3
3617      94.44202423    40.8599535  3
3618      95.78227234    40.9393652  3
3619      95.07302094    40.3594745  3
3622      95.75080872    40.0410684  3
