real_name,well01_1,well02_1,well03_1,well04_1,well05_1,well06_1,well07_1,well08_1,well09_1,well10_1,well11_1,well12_1,part_time,part_east
85,5.74724,5.69616,5.49199,4.0919,3.92014,4.05991,2.59369,3.25979,2.97368,1.12417,1.20361,1.19256,0,0
86,5.74724,5.69616,5.49199,4.0919,3.92014,4.05991,2.59369,3.25979,2.97368,1.12417,1.20361,1.19256,0,0
87,5.74724,5.69616,5.49199,4.0919,3.92014,4.05991,2.59369,3.25979,2.97368,1.12417,1.20361,1.19256,0,0
88,5.74724,5.69616,5.49199,4.0919,3.92014,4.05991,2.59369,3.25979,2.97368,1.12417,1.20361,1.19256,0,0
89,5.74724,5.69616,5.49199,4.0919,3.92014,4.05991,2.59369,3.25979,2.97368,1.12417,1.20361,1.19256,0,0
90,5.74724,5.69616,5.49199,4.0919,3.92014,4.05991,2.59369,3.25979,2.97368,1.12417,1.20361,1.19256,0,0
91,5.74724,5.69616,5.49199,4.0919,3.92014,4.05991,2.59369,3.25979,2.97368,1.12417,1.20361,1.19256,0,0
92,5.74724,5.69616,5.49199,4.0919,3.92014,4.05991,2.59369,3.25979,2.97368,1.12417,1.20361,1.19256,0,0
93,5.74724,5.69616,5.49199,4.0919,3.92014,4.05991,2.59369,3.25979,2.97368,1.12417,1.20361,1.19256,0,0
94,5.74724,5.69616,5.49199,4.0919,3.92014,4.05991,2.59369,3.25979,2.97368,1.12417,1.20361,1.19256,0,0
95,5.74724,5.69616,5.49199,4.0919,3.92014,4.05991,2.59369,3.25979,2.97368,1.12417,1.20361,1.19256,0,0
96,5.74724,5.69616,5.49199,4.0919,3.92014,4.05991,2.59369,3.25979,2.97368,1.12417,1.20361,1.19256,0,0
97,5.74724,5.69616,5.49199,4.0919,3.92014,4.05991,2.59369,3.25979,2.97368,1.12417,1.20361,1.19256,0,0
98,5.74724,5.69616,5.49199,4.0919,3.92014,4.05991,2.59369,3.25979,2.97368,1.12417,1.20361,1.19256,0,0
base,5.74724,5.69616,5.49199,4.0919,3.92014,4.05991,2.59369,3.25979,2.97368,1.12417,1.20361,1.19256,0,0
