iteration,total_runs,obs_realization,par_realization,heads,time,distance
0,80,75,75,9720.94,0,0
0,80,76,76,3738.42,0,0
0,80,77,77,1243.06,0,0
0,80,78,78,892.624,0,0
0,80,base,base,483.449,0,0
1,200,0,0,292.644,0,0
1,200,1,1,314.677,0,0
1,200,2,2,1001.94,0,0
1,200,3,3,442.945,0,0
1,200,4,4,453.233,0,0
1,200,5,5,144.381,0,0
1,200,6,6,374.632,0,0
1,200,7,7,5916.44,0,0
1,200,8,8,414.807,0,0
1,200,9,9,1136.58,0,0
1,200,10,10,511.56,0,0
1,200,11,11,1949.62,0,0
1,200,12,12,267.926,0,0
1,200,13,13,4215.46,0,0
1,200,14,14,240.703,0,0
1,200,15,15,483.191,0,0
1,200,16,16,3122.68,0,0
1,200,17,17,1158.96,0,0
1,200,18,18,885.217,0,0
1,200,19,19,1618.42,0,0
1,200,20,20,437.562,0,0
1,200,21,21,275.286,0,0
1,200,22,22,3082.11,0,0
1,200,23,23,4876.59,0,0
1,200,24,24,996.188,0,0
1,200,25,25,960.694,0,0
1,200,26,26,416.166,0,0
1,200,27,27,629.946,0,0
1,200,28,28,493.342,0,0
1,200,29,29,1025.62,0,0
1,200,30,30,4171.98,0,0
1,200,31,31,572.671,0,0
1,200,32,32,2386.23,0,0
1,200,33,33,1080.33,0,0
1,200,34,34,366.478,0,0
1,200,35,35,925.726,0,0
1,200,36,36,194.652,0,0
1,200,37,37,343.082,0,0
1,200,38,38,164.36,0,0
1,200,39,39,1954.29,0,0
1,200,40,40,358.745,0,0
1,200,41,41,955.682,0,0
1,200,42,42,433.543,0,0
1,200,43,43,527.36,0,0
1,200,44,44,1758.14,0,0
1,200,45,45,1160.4,0,0
1,200,46,46,260.806,0,0
1,200,47,47,443.798,0,0
1,200,48,48,6307.55,0,0
1,200,49,49,1269.83,0,0
1,200,50,50,1112.03,0,0
1,200,51,51,4536.35,0,0
1,200,52,52,5332.19,0,0
1,200,53,53,293.129,0,0
1,200,54,54,2077.47,0,0
1,200,55,55,400.118,0,0
1,200,56,56,3887.96,0,0
1,200,57,57,869.976,0,0
1,200,58,58,472.744,0,0
1,200,59,59,332.953,0,0
1,200,60,60,402.006,0,0
1,200,61,61,752.948,0,0
1,200,62,62,172.487,0,0
1,200,63,63,999.093,0,0
1,200,64,64,1497.36,0,0
1,200,65,65,255.293,0,0
1,200,66,66,5093.47,0,0
1,200,67,67,397.05,0,0
1,200,68,68,446.316,0,0
1,200,69,69,823.138,0,0
1,200,70,70,3732.19,0,0
1,200,71,71,4053.53,0,0
1,200,72,72,551.437,0,0
1,200,73,73,340.047,0,0
1,200,74,74,778.178,0,0
1,200,75,75,411.321,0,0
1,200,76,76,503.705,0,0
1,200,77,77,435.503,0,0
1,200,78,78,539.222,0,0
1,200,base,base,140,0,0
2,320,0,0,19.761,0,0
2,320,1,1,175.977,0,0
2,320,2,2,157.359,0,0
2,320,3,3,159.135,0,0
2,320,4,4,178.08,0,0
2,320,5,5,58.3842,0,0
2,320,6,6,149.674,0,0
2,320,7,7,2202.59,0,0
2,320,8,8,148.49,0,0
2,320,9,9,179.318,0,0
2,320,10,10,178.617,0,0
2,320,11,11,135.295,0,0
2,320,12,12,123.334,0,0
2,320,13,13,813.985,0,0
2,320,14,14,115.521,0,0
2,320,15,15,134.769,0,0
2,320,16,16,424.241,0,0
2,320,17,17,534.976,0,0
2,320,18,18,85.9332,0,0
2,320,19,19,203.314,0,0
2,320,20,20,119.375,0,0
2,320,21,21,116,0,0
2,320,22,22,130.101,0,0
2,320,23,23,1061.05,0,0
2,320,24,24,404.461,0,0
2,320,25,25,139.546,0,0
2,320,26,26,94.7539,0,0
2,320,27,27,137.623,0,0
2,320,28,28,236.515,0,0
2,320,29,29,490.49,0,0
2,320,30,30,527.374,0,0
2,320,31,31,247.199,0,0
