ppname	easting	northing	zone	kx1	kx2	kx3	rch
pp124	798.12800	6116.46400	4	2.839E+00	6.816E-03	1.298E+01	3.655E-04
pp125	5542.95200	5899.04700	4	4.713E+00	1.182E-02	3.687E+00	2.126E-04
pp126	5542.95200	5361.89700	4	4.848E+00	2.599E-01	1.043E+01	5.658E-04
pp127	5696.42300	3891.12900	4	3.123E+00	2.111E-01	1.050E+00	2.446E-04
pp128	6297.51900	4351.54300	4	1.553E+00	9.506E-02	4.935E-01	6.944E-04
pp129	4174.49800	5029.37500	4	1.197E+00	2.664E-02	9.081E+00	1.488E-04
pp130	4404.70600	5630.47200	4	6.198E-01	5.515E-02	4.086E+00	2.349E-04
pp131	5184.85200	5477.00000	4	1.956E+00	5.674E-01	2.818E+00	2.447E-04
pp132	5056.95900	4927.06100	4	6.560E+00	5.608E-02	4.536E+00	4.466E-04
pp133	4698.85900	4466.64700	4	8.459E+00	1.365E-01	1.090E+00	3.661E-04
pp134	3688.50600	4543.38300	4	6.065E-01	1.829E-02	3.367E+00	1.710E-04
pp135	7819.44400	4786.37900	4	2.253E+01	8.847E-02	1.850E+00	2.978E-04
pp136	8510.06500	4671.27600	4	3.103E+00	5.710E-01	1.786E+00	2.131E-04
pp137	8650.74700	5170.05700	4	1.040E+01	1.018E-01	6.709E+00	3.009E-04
pp138	8676.32600	4274.80800	4	1.948E+00	5.590E-02	1.125E+00	2.533E-04
pp139	6514.93700	5349.10700	4	3.166E+01	2.089E-01	1.875E+00	2.473E-04
pp140	3790.82000	5643.26100	4	2.773E-01	2.733E-01	8.755E-01	2.910E-04
pp141	4136.13100	6135.64800	4	4.819E-01	7.615E-02	1.708E+00	2.121E-04
pp142	4948.25000	6359.46100	4	3.406E+00	3.714E-02	2.636E+00	3.140E-04
pp143	337.71400	8974.86900	1	2.819E+00	3.577E-01	5.032E+00	4.543E-04
pp144	286.55700	8002.88300	1	1.669E+00	7.749E-01	5.297E+00	2.690E-04
pp145	286.55700	6903.00500	1	7.840E+00	1.176E-01	1.088E+01	1.982E-04
pp146	260.97800	6058.91300	1	2.060E+01	2.296E-01	5.784E+00	2.071E-04
pp147	235.40000	4575.35600	1	5.649E+00	3.000E-02	6.209E+00	2.994E-04
pp148	286.55700	5317.13400	1	3.917E+00	7.745E-02	6.244E+00	2.286E-04
pp149	286.55700	3603.37100	1	3.425E+00	3.622E-01	1.237E+01	3.523E-04
pp150	286.55700	2068.65700	1	4.482E+00	2.935E-02	5.228E+00	3.159E-04
