pp146	260.978	6058.913	1	2.06E+01	2.30E-01	5.78E+00	2.07E-04
pp147	235.4	4575.356	1	5.65E+00	3.00E-02	6.21E+00	2.99E-04
pp148	286.557	5317.134	1	3.92E+00	7.74E-02	6.24E+00	2.29E-04
pp149	286.557	3603.371	1	3.43E+00	3.62E-01	1.24E+01	3.52E-04
pp150	286.557	2068.657	1	4.48E+00	2.93E-02	5.23E+00	3.16E-04
pp151	286.557	1198.986	1	4.65E+00	2.27E-02	5.19E-01	2.67E-04
pp152	1130.65	5214.82	1	1.71E+00	2.41E-01	3.94E-01	1.89E-04
pp153	1770.114	5163.663	1	1.61E+00	3.76E-01	8.10E-01	1.79E-04
pp154	2665.363	4984.613	1	2.36E+00	5.40E-02	9.94E-01	3.89E-04
pp155	3893.134	4805.563	1	9.93E+00	3.56E-02	1.06E+00	3.80E-04
pp156	1258.542	7465.733	1	6.58E+00	1.95E-01	1.96E+00	2.16E-04
pp157	1718.956	6596.062	1	3.29E+00	1.81E-01	5.88E-01	3.54E-04
pp158	3023.463	8054.04	1	3.03E+00	9.45E-02	1.60E+00	2.98E-04
pp159	2511.892	7235.526	1	1.08E+00	1.81E-02	1.82E+00	4.91E-04
pp160	3944.291	8744.662	1	7.94E+00	7.65E-02	1.28E+00	3.37E-04
pp161	5274.377	7414.576	1	8.59E+00	1.80E-02	2.34E+00	1.78E-04
pp162	6220.784	6621.641	1	3.47E+00	3.89E-02	1.39E+00	3.02E-04
pp163	4097.763	7593.626	1	1.57E+01	3.94E-01	4.14E+00	3.66E-04
pp164	4558.177	6749.534	1	3.71E+01	1.68E-01	3.16E+00	2.53E-04
pp165	6144.048	5956.598	1	7.14E+00	1.77E-02	3.69E+00	3.03E-04
pp166	2869.992	5841.495	1	5.77E+00	7.18E-03	5.79E-01	3.39E-04
pp167	3279.249	5854.284	1	6.94E+00	2.70E-01	1.55E+00	3.44E-04
pp168	3573.402	5854.284	1	1.41E+01	3.04E-01	1.46E+00	5.10E-04
pp169	3893.134	5854.284	1	2.12E+01	3.37E-01	2.67E+00	5.42E-04
pp170	4302.391	5879.863	4	3.34E-01	5.36E-02	1.67E+00	2.14E-04
pp171	3381.563	5624.077	1	9.11E+00	1.49E-01	1.89E+00	3.78E-04
pp172	3547.824	5457.816	4	2.66E-01	2.85E-02	1.33E+00	2.35E-04
pp173	4187.288	5662.445	4	5.22E-01	1.35E-01	1.44E+00	1.91E-04
pp174	4583.755	5419.448	4	6.06E-01	2.50E-02	8.27E+00	3.06E-04
pp175	4583.755	5048.559	4	2.32E+00	3.45E-02	4.89E+00	3.17E-04
pp176	4174.498	5202.031	4	5.30E-01	5.07E-03	7.86E+00	1.31E-04
pp177	3176.935	5048.559	1	9.67E+00	1.33E-01	2.26E+00	4.54E-04
pp178	3739.663	5099.716	4	8.18E-01	7.71E-02	6.22E+00	2.15E-04
pp179	2933.938	6110.07	1	6.83E+00	9.88E-02	5.41E-01	4.92E-04
pp180	3240.881	6135.648	1	5.61E+00	3.09E-01	2.28E+00	5.36E-04
pp181	3611.77	6148.437	1	1.08E+01	7.32E-01	2.97E+00	5.66E-04
pp182	3969.87	6148.437	1	1.47E+01	9.62E-01	2.84E+00	4.77E-04
pp183	4647.702	5649.656	1	1.40E+01	4.48E-02	1.34E+00	4.22E-04
pp184	4558.177	5918.23	1	1.08E+01	2.06E-01	1.25E+00	2.92E-04
pp185	4404.706	6199.595	1	1.49E+01	2.41E-01	2.92E+00	3.11E-04
pp186	4404.706	6378.645	1	1.13E+01	1.48E-01	3.86E+00	2.57E-04
pp187	4123.341	6404.223	4	2.58E+00	5.22E-02	2.06E+00	2.00E-04
pp188	3854.766	6455.38	1	1.17E+01	5.60E-01	3.70E+00	3.87E-04
pp189	3535.034	6404.223	1	3.84E+00	2.60E-02	2.41E+00	4.85E-04
pp190	3304.827	6429.802	1	6.48E+00	3.85E-02	2.74E+00	5.16E-04
pp191	2946.727	6442.591	1	3.35E+00	6.63E-02	5.36E-01	5.02E-04
pp192	3087.41	6634.43	1	1.79E+00	3.37E-02	9.78E-01	5.86E-04
pp193	3394.352	7069.266	1	3.52E+00	7.36E-02	1.95E+00	6.58E-04
pp194	3483.877	6711.166	1	3.74E+00	5.58E-02	2.69E+00	4.95E-04
pp195	3905.924	6851.848	1	1.81E+01	1.48E-01	1.62E+00	4.11E-04
pp196	4327.97	6749.534	1	5.21E+01	2.30E-01	4.55E+00	2.44E-04
pp197	4941.855	5943.809	1	1.08E+01	8.03E-02	4.76E+00	3.60E-04
pp198	2690.942	6225.173	1	3.07E+00	2.02E-02	2.35E-01	4.21E-04
pp199	2396.788	5982.177	1	2.61E+00	7.08E-03	4.09E-01	2.32E-04
pp200	2652.574	5675.234	1	3.71E+00	9.86E-03	6.31E-01	3.30E-04
pp201	2626.995	5432.238	4	1.52E+00	7.87E-01	2.11E+00	2.72E-04
pp202	4993.012	5675.234	4	7.95E-01	1.66E-01	2.26E+00	5.86E-04
pp203	6412.623	2618.596	1	1.55E+01	7.07E-02	1.97E+01	2.95E-04
pp204	5875.473	1109.461	1	9.54E+01	1.96E-01	2.17E+00	3.38E-04
pp205	6821.88	3437.11	1	3.54E+00	3.82E-01	5.82E+01	2.19E-04
pp206	4724.438	8373.772	1	8.68E+00	1.59E-01	5.67E+00	2.46E-04
pp207	1757.324	2925.539	1	3.49E-01	4.10E-02	1.54E+00	2.92E-04
pp208	1092.282	2746.489	1	3.76E+00	1.74E-01	2.31E+00	5.39E-04
pp209	1936.374	3309.217	1	2.61E-01	4.25E-02	3.38E+00	3.40E-04
pp210	715.2287082	9766.392871	1	2.69E+00	2.55E-01	4.51E+00	6.89E-04
pp211	698.6210675	9317.986573	1	3.67E+00	9.27E-01	3.32E+00	7.61E-04
pp212	1612.041304	9633.531746	1	8.99E+00	2.47E-01	4.50E+00	3.39E-04
pp213	1147.027365	9583.708824	1	3.56E+00	1.75E-01	6.16E+00	5.63E-04
pp214	1147.027365	9068.871963	1	3.06E+00	3.13E-01	7.80E+00	5.76E-04
pp215	947.7356775	8670.288587	1	3.67E+00	2.26E+00	3.18E+00	4.66E-04
pp216	432.8988168	8437.781618	1	2.23E+00	1.17E+00	8.13E+00	3.96E-04
pp217	1296.496131	8022.590601	1	1.84E+00	5.01E-01	4.19E+00	3.18E-04
pp218	765.0516302	7839.906554	1	2.72E+00	1.10E+00	8.53E+00	2.26E-04
