time,LUSE2_1,LUSE2_3,LUSE3_1,LUSE3_3,NEW_WELLS
2557.100000000,0.300000000E+31,0.00000000,0.300000000E+31,0.00000000,0.00000000
2587.541666667,0.300000000E+31,0.00000000,0.300000000E+31,0.00000000,0.00000000
2617.983333333,0.300000000E+31,0.00000000,0.300000000E+31,0.00000000,0.00000000
2648.425000000,0.300000000E+31,0.00000000,0.300000000E+31,-24.6905113,0.00000000
2678.866666667,0.300000000E+31,0.00000000,0.300000000E+31,-1762.89447,0.00000000
2709.308333333,0.300000000E+31,-0.606273856,0.300000000E+31,-2465.65902,0.00000000
2739.750000000,0.300000000E+31,-94.6251609,0.300000000E+31,-3051.80096,0.00000000
2770.191666667,0.300000000E+31,-1529.05761,0.300000000E+31,-2730.95788,0.00000000
2800.633333333,0.300000000E+31,-1068.38742,0.300000000E+31,-1948.57993,0.00000000
2831.075000000,0.300000000E+31,0.00000000,0.300000000E+31,0.00000000,0.00000000
2861.516666667,0.300000000E+31,0.00000000,0.300000000E+31,0.00000000,0.00000000
2891.958333333,0.300000000E+31,0.00000000,0.300000000E+31,-956.897495,0.00000000
2922.400000000,0.300000000E+31,0.00000000,0.300000000E+31,-18.5463555,0.00000000
2952.841666667,0.300000000E+31,0.00000000,0.300000000E+31,0.00000000,0.00000000
2983.283333333,0.300000000E+31,0.00000000,0.300000000E+31,0.00000000,0.00000000
3013.725000000,0.300000000E+31,0.00000000,0.300000000E+31,0.00000000,0.00000000
3044.166666667,0.300000000E+31,0.00000000,0.300000000E+31,0.00000000,0.00000000
3074.608333333,0.300000000E+31,0.00000000,0.300000000E+31,0.00000000,0.00000000
3105.050000000,0.300000000E+31,-1.20323557,0.300000000E+31,-2115.85374,0.00000000
3135.491666667,0.300000000E+31,-733.773157,0.300000000E+31,-4938.31825,0.00000000
3165.933333333,0.300000000E+31,-3210.02893,0.300000000E+31,-5304.95767,0.00000000
3196.375000000,0.300000000E+31,-2049.16003,0.300000000E+31,-3755.45402,0.00000000
3226.816666667,0.300000000E+31,-77.2064879,0.300000000E+31,-142.085643,0.00000000
3257.258333333,0.300000000E+31,0.00000000,0.300000000E+31,-1055.37948,0.00000000
3287.700000000,0.300000000E+31,0.00000000,0.300000000E+31,-45.3797373,0.00000000
3318.141666667,0.300000000E+31,0.00000000,0.300000000E+31,0.00000000,0.00000000
3348.583333333,0.300000000E+31,0.00000000,0.300000000E+31,-41.8024150,0.00000000
3379.025000000,0.300000000E+31,0.00000000,0.300000000E+31,-2220.33796,0.00000000
3409.466666667,0.300000000E+31,-26.2087843,0.300000000E+31,-910.507907,0.00000000
3439.908333333,0.300000000E+31,-1735.86395,0.300000000E+31,-6336.18487,0.00000000
3470.350000000,0.300000000E+31,-1878.33174,0.300000000E+31,-3394.46497,0.00000000
3500.791666667,0.300000000E+31,-3302.06615,0.300000000E+31,-5346.39429,0.00000000
3531.233333333,0.300000000E+31,-4008.80438,0.300000000E+31,-6334.62353,0.00000000
3561.675000000,0.300000000E+31,-156.129655,0.300000000E+31,-701.505239,0.00000000
3592.116666667,0.300000000E+31,-3.24102601,0.300000000E+31,-199.321039,0.00000000
3622.558333333,0.300000000E+31,0.00000000,0.300000000E+31,-2.74435809,0.00000000
3653.000000000,0.300000000E+31,0.00000000,0.300000000E+31,0.00000000,0.00000000
