ParSetIndex,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
k_ppt16,3.439128,1.557783,0.3408547,4.983561,1.165640,1.066299,1.137985,2.265527,2.754336,0.2852674,0.1516500,1.460381,2.038168,0.8185280,0.2533449,0.7577971,3.478917,0.5919718,0.3782255,0.3627306,0.8414338,0.5558965,4.842092,1.719306,1.208822,0.3211095,0.6064140,0.2166024,2.332800,0.2384725,1.062181,0.7212222,1.942754,0.2078104,1.398084,0.4724532,0.2371222,0.5190661,0.5125245,1.805624,0.4716574,1.578585,0.9686622,0.2328357,0.3973904,0.9580208,0.4287162,1.087312,2.622839,1.665315
k_ppt17,0.7603504,1.173644,0.4371446,0.3146034,1.712788,1.281443,0.2711919,0.8996709,0.6909900,1.113223,3.974012,0.8869638,0.7930351,0.7893023,0.1922526,0.3448964,2.648957,0.5435213,3.401446,0.6998400,0.4484846,0.9465491,0.8199542,2.311818,0.5657315,1.798099,0.4988908,0.7377820,4.604110,0.3956469,0.5092940,0.3932229,0.4146044,7.957225,0.7954268,2.374579,1.797480,1.103222,0.6191564,0.2323244,0.2901584,1.223874,1.780023,0.3868462,1.134138,0.7988234,1.035393,1.333077,0.1944755,2.362024
k_ppt18,3.140475,1.264052,0.5784466,0.3730454,0.9215207,0.9322738,0.1311911,1.038499,0.6544450,0.9538181,1.392083,1.360606,0.5566755,1.203762,0.3448908,0.3864144,0.8122300,0.3370331,1.385139,2.038362,0.9102176,0.7863667,0.6990900,0.7711754,1.694335,5.031079,0.6509171,0.2943416,1.214871,0.4584977,1.222995,0.6776296,0.4525641,1.993540,0.7239179,2.197394,1.664241,2.532126,0.8858206,0.3717783,0.5066278,0.4382202,0.7865768,0.8203921,0.6363278,2.911472,0.8879278,0.9400663,0.5880597,0.3531278
k_ppt19,2.758404,2.420341,0.3476782,1.256889,1.296507,0.8931709,0.3528628,0.5029926,0.4579673,0.2910501,0.8794605,0.9897885,0.3362340,3.351303,0.8570145,0.2435240,1.334745,0.4935157,0.4150960,1.010472,0.6021952,0.5911867,1.022971,1.576152,2.219396,0.7978763,3.539416,0.4029458,0.5780884,0.8474243,0.9910068,0.6303917,1.477241,3.281669,0.6391796,0.9349891,2.937946,3.955486,0.6940707,0.4307490,0.3564956,0.3504792,0.9022796,0.4976065,0.4954235,1.534844,0.4495708,2.472747,0.3422878,0.5161396
k_ppt20,3.174793,1.401834,0.3609811,2.197929,0.7142472,0.5993697,0.4694189,1.536408,0.6705685,0.3849907,0.2149302,0.6658950,0.3887797,1.798022,0.6873747,0.4053211,1.041680,0.5521849,0.7062893,1.019087,0.8474514,0.4695910,1.179607,2.401503,1.564415,0.9405923,6.581767,0.7325360,1.601162,0.7494465,0.7449559,0.5134170,1.378382,2.436210,0.8883916,0.2867427,0.6795482,1.037815,1.872967,0.5907445,1.202011,0.8601338,0.8328722,1.236762,0.3957886,1.560231,0.7326271,1.951368,0.4395323,0.4004616
k_ppt21,2.303693,0.7712632,0.5335894,2.284727,0.7589448,0.6025002,0.4745951,1.948716,0.4336610,0.4651890,1.079827,1.349672,0.5061412,2.019229,0.6275640,0.9940717,2.827871,0.7983800,0.4232009,0.3273734,0.8156645,0.9604954,1.955161,3.872646,1.615034,0.7246259,5.435075,3.018400,1.579462,1.158151,0.6643659,0.9933848,1.641078,0.4102758,2.651166,0.3856134,0.4993605,0.2163970,0.6549699,1.359537,1.535344,4.704415,0.7008335,1.609930,0.8278731,1.065666,1.761434,1.942688,1.175615,0.9014019
k_ppt22,1.001061,1.802041,0.2392765,2.146837,0.4849995,0.6685962,1.653968,3.344061,1.195175,0.1730047,0.6100612,0.5167395,0.4194454,1.136937,0.2274976,0.7168239,1.231709,0.7703090,0.3066709,0.2525035,0.8517866,3.863395,1.413270,20.04590,0.4018704,0.7186886,1.116700,1.671601,0.9344008,0.7687868,0.5622161,1.412161,1.114471,0.2402983,0.3962809,0.3820920,0.5438292,0.3003053,0.2233036,3.212041,0.7158578,2.108797,0.6375062,1.428631,0.3240860,0.9778274,2.143792,1.173025,5.158359,0.6149772
k_ppt23,1.916143,1.604419,0.3393974,1.348521,0.7679969,1.183484,2.434041,8.565638,1.916728,9.6436359E-02,0.3690695,0.8969333,1.753333,2.301131,0.3309080,0.8385130,0.5641443,0.9397276,0.3190567,0.4587085,1.048997,1.349216,2.053456,4.690120,0.8871209,0.6758208,0.3451086,1.856754,0.5796355,1.314624,0.8945211,0.6191818,3.229470,0.1414247,0.6032201,0.6934393,0.5364151,1.547749,0.2531752,1.659871,0.8054683,3.305631,0.8093455,0.6195378,0.3940193,0.5913500,1.843882,2.141166,4.886378,0.7766384
k_ppt24,2.282439,1.949650,0.6399297,1.919724,0.9512892,1.575362,2.563815,5.371247,2.418244,0.3305587,0.1446689,1.047356,0.5702406,2.183501,0.5912655,3.929101,0.7040045,0.5169583,0.4288039,0.5819497,2.372239,0.4303041,1.942001,0.9511581,0.3427176,0.9461434,0.5002343,0.7736106,0.8488989,0.4687004,1.687229,1.237837,2.558800,0.2989272,2.078586,0.3950240,0.4562437,3.803305,1.477328,2.842668,1.336890,2.968299,2.244496,0.3514809,0.2012271,0.4991991,0.5807635,2.116282,7.317937,1.420652
k_ppt25,0.4838391,2.491166,1.189481,0.4036165,1.978302,1.269772,1.155265,2.169499,1.627971,2.816010,0.7963148,8.083257,0.9827794,0.4949233,0.4250894,0.9216460,0.4582152,0.6878816,1.899091,1.395958,0.4986575,1.084242,0.6217372,0.9849321,0.6590484,0.3278198,0.8176226,0.6914645,2.735086,0.6768050,1.696126,0.4077538,0.6098802,5.149342,0.6650027,1.390911,1.131088,1.334538,0.7154765,1.227928,0.5890815,1.145381,1.095361,1.008935,0.5591321,0.4987284,1.715202,1.214371,0.2219225,0.5842272
k_ppt26,1.088676,1.167754,0.7652127,0.5206203,1.539333,1.583693,0.5839704,0.3529166,0.7102117,2.009616,2.107827,1.302743,0.8479199,1.297754,1.727702,0.7201191,0.4984797,0.7016279,1.588535,0.9644218,0.4831759,1.508634,0.9157129,0.6349275,0.9209471,1.689858,0.7804379,0.5711522,1.027783,1.230985,0.5775966,0.5781572,1.797844,5.694000,0.5221708,3.638806,1.980815,3.196870,0.8429004,0.4286009,0.8277895,0.6786685,0.6547901,0.7333750,0.7638303,1.346251,0.5469351,0.7094934,0.7361865,1.005568
k_ppt27,1.252839,1.179672,0.6608994,2.348531,1.596956,1.247863,0.4881476,0.5332126,0.4385895,1.042128,0.5627903,1.334489,0.6992814,2.140375,2.176646,1.554820,0.8286150,0.6278056,0.6366262,0.8781550,0.8241640,0.5886624,1.083164,0.3388382,6.235109,1.174281,3.024023,0.5352738,0.6340645,0.5682490,1.535196,0.9392756,0.6232958,2.722563,0.6620025,1.911976,2.539351,4.313237,1.007422,0.3078949,0.6730986,1.107228,2.439153,0.9762011,0.7569346,1.941148,0.5129015,1.342910,0.8678984,0.5389479
k_ppt28,3.042979,0.6312918,0.6748083,1.763370,1.932810,0.6221698,0.6930341,0.5397396,0.3275418,0.8925712,0.8819700,0.9998997,0.5883232,0.4657344,0.8220439,0.3908821,0.7761607,0.5972137,0.4214257,1.406170,0.9329434,1.664978,0.8601728,1.719894,2.388858,0.9200432,2.160305,1.590812,0.8882532,2.068888,1.724195,0.6496145,1.300293,2.556253,2.079323,0.5225233,1.738753,0.8350586,1.431973,0.9007166,0.7341819,0.2991254,1.453688,2.039690,1.482006,1.943389,1.232059,1.006669,0.5988614,0.4579922
k_ppt29,3.096762,2.267610,0.5050080,0.8327964,1.389295,1.660550,0.9976386,1.726859,0.5475059,0.4568838,0.8148777,1.093515,0.4910849,1.013628,0.5439618,1.519773,2.616388,0.5277243,1.345952,0.6111573,1.258314,1.215533,3.393276,2.175758,1.926085,0.6113122,1.993141,1.279234,0.8803090,0.5849592,1.228311,0.9367635,1.369569,0.8346796,1.411847,0.4301462,0.9842342,0.2762300,0.7117061,0.8591449,2.432509,0.9961152,1.056339,1.936799,0.9826566,1.207044,1.543333,1.272598,0.6147422,0.8742563
k_ppt30,1.030274,2.655390,0.3240753,2.100086,0.2828919,1.311931,2.559631,2.340660,1.659588,0.4742351,1.114597,0.9224284,0.6839393,2.663917,1.012739,0.4427883,1.959213,2.259286,0.5322996,0.1979547,0.9629495,1.682998,2.770211,2.181191,1.782844,0.7254371,1.201781,3.143258,1.251934,1.376436,0.4455787,0.9184415,1.503250,0.4272031,2.643937,0.2851497,0.8864103,0.7662082,0.2787321,2.653756,1.395106,1.393838,0.6197586,0.9287433,0.8455837,0.4092668,2.851900,0.8588334,1.305792,0.6513000
k_ppt31,0.9611626,5.233326,0.5591671,1.710902,0.9115119,1.664615,1.690724,1.884311,1.781798,0.3355813,0.6144940,0.5862349,1.240481,2.040637,0.6257826,1.612151,0.7773343,1.848254,0.9329041,0.7485464,0.9173384,0.9988162,1.848885,1.574034,1.259474,0.7770633,0.5993075,1.548491,0.7576533,1.673001,1.653662,0.8173776,1.211399,0.3709631,0.8877575,0.8960759,0.3633623,1.992187,0.5835062,1.717728,0.7246130,1.822410,1.134293,1.082376,1.042668,0.6045248,1.836398,1.531009,2.644677,0.8393281
k_ppt32,1.534315,1.174835,0.9512955,0.7142651,1.257180,0.8006790,3.273356,1.432100,2.778919,0.4213938,0.5777190,1.273147,0.9502908,1.291801,1.191694,2.327015,0.9487687,0.9970410,0.5421196,0.6831761,2.279201,0.7499957,1.061356,1.325958,1.387579,1.242558,0.6614614,1.150766,1.425135,0.8280820,3.449518,1.089449,1.277301,0.5940611,1.294138,1.541597,0.3960523,2.106411,1.048760,3.771252,0.9602537,5.685732,1.390441,1.059101,0.7599865,0.9830299,0.4608430,1.348641,5.703079,4.398402
k_ppt33,1.079090,1.298349,0.7451747,0.3144685,0.6879625,0.8580481,0.9014611,1.437500,2.280401,1.398441,0.5746750,0.9444883,1.135261,0.4968645,1.033133,1.285634,0.9051821,1.618026,0.7961695,2.789560,1.243508,0.5855445,0.2978500,0.8300447,1.336774,1.395120,0.2177809,0.8623537,0.5442914,1.369697,1.405154,1.058275,0.2754472,0.9849270,0.8283689,1.103293,0.5457933,1.746932,1.351573,1.920420,0.4846044,0.5647639,1.357091,1.647531,4.357061,0.9284720,0.9435752,0.9402624,0.2997646,0.5510809
k_ppt34,0.7473119,1.306457,1.569591,0.5798659,2.672317,1.702254,0.6362132,0.6607199,0.7955868,1.963526,2.581674,0.7110018,0.6021290,1.194155,2.747901,0.9315390,0.5457618,1.715676,0.9252610,1.043044,0.7394904,0.8773203,0.5111936,0.6700624,1.406807,1.212513,0.6428700,0.8310287,1.096361,1.194636,0.4378183,0.7649642,0.3551940,1.332502,1.034454,2.682711,2.790051,1.452409,2.435418,0.5129945,0.8182727,0.5152561,1.040923,0.6335360,1.144274,1.293418,1.037468,0.9219998,2.361904,0.7352077
k_ppt35,0.8898778,0.2610710,1.391993,0.8550464,1.776594,1.218161,0.3478278,0.4646465,0.3934709,1.454849,1.583532,0.6742189,1.135536,1.348540,0.7815512,1.138759,0.5813024,2.838006,1.923557,1.319684,1.055607,0.8746082,0.3703898,0.5958379,2.158521,6.465576,2.538122,1.250763,1.029681,3.066949,0.7576584,0.6895637,0.5114737,1.214388,1.362857,1.659598,1.278695,1.178693,1.570344,0.3542089,1.827005,0.2579751,1.784140,0.8090086,0.8540722,1.301711,0.9164702,0.7794205,1.408285,0.9348668
k_ppt36,0.9672304,0.2630154,3.336806,1.085442,1.255360,1.194094,0.8017996,1.097907,0.9705411,1.482759,1.607189,0.9509331,1.461357,0.3570349,0.7821678,0.3696377,0.8329161,1.091308,1.046481,1.269721,0.6934942,1.449132,2.202923,0.7233589,0.6417342,0.6709989,2.157363,1.256203,1.218082,1.348879,2.080089,0.6879965,1.801534,2.874173,0.9110565,0.3931396,1.051199,0.8231116,1.472390,0.9868752,2.006879,0.8272788,0.9670160,2.063883,1.516994,1.189601,0.5452896,1.152843,0.5030272,1.636872
k_ppt37,0.7389977,0.7170729,0.8059477,2.552007,0.9956278,1.482531,1.369137,1.488120,2.138502,2.336942,1.677882,1.269711,0.5473135,2.147446,1.113629,0.5937527,2.734586,0.9312554,1.744832,1.104647,0.6361124,1.320952,1.104115,1.381932,1.712981,0.6316417,1.866229,0.9187350,2.244610,0.4953216,2.181537,1.351299,1.367579,1.109933,1.143974,0.4147248,1.082340,0.3916855,0.8595593,0.6353981,2.067043,2.003237,0.9726681,1.860073,1.044913,0.6509775,1.956918,0.9413845,0.7330568,0.4751086
k_ppt38,0.8512095,1.142525,0.9391643,5.668966,0.6510585,0.8233230,0.9512789,1.702002,2.127963,2.029639,1.001241,0.7357978,1.502043,0.9262932,2.202652,1.447006,0.6057222,0.9399707,0.5320732,1.239643,0.4416932,2.276795,2.465392,0.6723498,0.7182982,0.6905102,0.9452080,3.168630,0.8171124,1.347219,2.216800,1.705374,2.938128,1.011229,1.350488,1.217562,0.7219986,0.7528037,0.7865126,1.598631,2.371781,1.588909,0.6405267,1.311205,1.220615,0.8307048,2.209491,0.7467269,1.156970,1.337222
k_ppt39,0.9958345,2.496033,1.452400,1.175943,2.140353,0.8340581,1.955913,0.9632625,0.9115655,1.444007,0.7759181,1.502876,2.097913,1.811808,0.6273353,1.502699,1.201267,1.577841,2.047319,2.068055,1.785144,1.337977,2.837301,0.6329059,1.616687,0.9885834,1.385538,2.212036,0.7644966,1.012521,0.7249753,1.541508,2.363326,1.232806,0.7134978,2.028437,0.8816034,0.5807662,1.256224,1.883008,0.5440569,1.138184,1.062784,0.9438142,1.147541,1.167148,2.032937,1.897748,2.237565,1.074495
k_ppt40,0.6981783,2.512422,1.495525,0.6750934,1.453398,1.120346,5.166649,0.7570564,0.8941806,1.266871,1.058470,1.101003,1.496753,0.6146237,3.599024,1.473112,1.048955,1.889847,0.8406854,0.8446109,4.694471,0.7339461,1.422740,1.737342,1.139188,1.232363,0.7904960,0.5686980,1.597707,0.9624651,1.786882,2.089312,2.750340,0.5582195,4.283949,1.017434,1.236745,2.788584,2.101830,1.349600,0.7268234,0.8694946,1.913203,0.4305978,0.9014567,1.957262,2.240762,1.774989,3.753866,2.290324
k_ppt41,0.9613177,2.605275,1.022448,0.2677859,0.2316493,0.5210555,0.8761303,1.619050,1.172398,3.041392,1.645746,0.5952427,1.182501,0.4621821,0.4531540,0.7926007,2.587098,0.5369219,0.9587876,2.968330,0.8985785,0.7668266,0.9187736,0.9932757,2.018608,1.097056,0.5457285,0.3009470,0.7954782,0.6750955,0.8602579,1.101825,0.6181895,0.3577357,1.123267,1.479626,2.752165,1.641322,1.881687,1.436306,1.201190,0.5514656,0.8270541,2.427529,2.722460,0.6571894,1.115784,1.879905,0.2779992,1.156301
k_ppt42,0.9043850,1.330391,1.009721,0.5330408,0.4717181,0.9706238,0.9081428,1.584739,0.4360591,1.607305,3.331162,1.518876,0.5004719,0.7924641,1.101349,1.541923,0.7182716,1.401543,1.327469,2.127687,0.7323702,0.5309589,1.201402,0.9760318,1.199505,1.953656,2.624889,1.354912,1.518903,2.939573,0.6219012,1.755328,8.5235089E-02,0.8530555,1.610598,1.405502,1.622654,1.207736,2.039269,0.7161532,3.720122,0.7385426,1.248703,0.3864749,0.9050047,0.7241981,1.250916,1.448940,0.8058486,0.9270590
k_ppt43,1.294031,0.5453244,4.226836,0.5592300,1.296150,1.754172,0.5246322,0.3556172,0.3028874,1.240755,1.783284,2.637582,0.7719335,0.9688236,1.135572,1.225090,0.3560007,0.7743659,4.027845,1.250615,1.503050,1.108771,0.9319460,0.9290910,1.131205,5.038043,1.951813,1.930916,1.588789,3.806072,0.8363221,1.749112,0.2643526,1.652894,1.199424,1.470330,1.853561,1.129084,5.433317,1.042734,1.075058,0.7663507,0.6651000,0.6636652,0.7469621,5.023459,0.6870131,1.998354,4.573389,1.280784
k_ppt44,0.6656465,0.7918238,3.022717,1.945661,1.840405,1.061626,0.7018575,1.522137,1.210846,2.087938,1.956087,1.230657,1.937609,0.6858832,1.418106,0.7742359,2.289904,0.5352332,2.946440,1.264216,1.881307,2.136949,1.625515,0.9397279,0.6341864,0.6614246,1.049949,6.288767,2.925822,0.9768710,1.044123,1.149361,1.976073,0.8561704,0.4669844,1.301816,1.932181,1.321019,2.477629,0.9038987,2.202253,0.7573637,2.296401,1.463222,0.4622221,2.031363,1.187611,1.583066,0.5240560,2.078731
k_ppt45,1.286931,0.8117262,1.400971,0.9499941,0.9008404,0.8673566,1.881966,1.539334,3.074473,3.893426,1.097170,2.617320,1.835859,6.192046,1.413118,0.8247890,1.869707,0.6711214,2.077210,2.442758,1.174999,1.630313,1.793915,0.8425394,0.7088194,0.3286288,1.480040,2.503537,3.388641,0.8530681,1.106473,0.7617531,1.239223,2.081532,1.574017,1.216514,0.9000716,1.624416,1.906722,0.9173024,1.740685,2.383142,1.354151,1.098057,0.4220699,1.570645,1.116172,1.078699,0.8360954,1.785723
k_ppt46,1.929288,0.6511147,1.865383,7.415033,2.274652,1.087309,1.361129,1.263304,1.206431,0.8764331,0.8101964,1.762484,2.202584,4.952865,1.989074,1.467193,0.8810658,1.045192,1.097218,2.238441,0.9626641,1.541566,2.129052,0.3473712,0.5269153,1.589438,0.8057179,1.625576,1.080158,0.9956703,1.870637,0.8263783,2.135571,1.716908,1.492508,1.150071,1.828599,0.6129187,1.602818,1.731951,1.544689,2.774174,0.7879658,2.262404,1.534618,1.394809,0.9455879,2.096399,1.377999,0.4083758
k_ppt47,2.843784,2.351699,3.138729,1.721509,5.571830,0.8714829,1.381946,2.567680,2.003588,0.7983879,2.438500,1.338782,6.443632,0.6178313,1.609168,3.275860,1.983759,1.818536,1.897677,1.607169,2.379868,1.261238,2.344347,0.8433470,0.7783382,2.255949,1.953011,0.4918698,0.8129770,1.131235,0.5295650,2.218228,2.023331,1.850898,1.111911,2.736296,1.389530,0.5827822,1.718274,1.367779,0.9198921,2.120366,1.210114,1.989649,2.378447,0.6613078,5.175344,0.7790854,2.454547,0.5571383
k_ppt48,1.257600,0.9072459,1.937942,1.758266,3.466281,0.6326563,4.182716,2.287730,0.4267169,0.7999739,4.723083,2.039065,1.817147,0.4797785,1.685098,3.748292,2.252355,1.520424,2.562985,0.5254440,1.032895,1.603151,0.5027452,3.347679,1.111101,2.108093,1.900332,0.4605158,0.6861322,1.621408,0.9781540,1.914126,0.9649447,0.9554745,1.665183,1.567641,1.268727,3.344977,1.755439,2.211931,1.764288,1.325850,2.411938,0.7736101,2.383329,0.5861489,3.337925,1.137161,1.883365,1.960054
