pointid   X                      Y                      layer_kx_multiplier         vertical_anisotropy       recharge
53        978427.593410712       124758.657992725            1.0000000E+00              1.0000000E+01            3.7498001E-03
54        978642.422433093       124382.707203559            1.0000000E+00              1.0000000E+01            3.7498001E-03
55        979383.582560306       124672.726383773            1.0000000E+00              1.0000000E+01            3.7498001E-03
56        986773.700930196       123373.010798371            1.0000000E+00              1.0000000E+01            3.7498001E-03
57        986811.296009112       123491.16676068             1.0000000E+00              1.0000000E+01            3.7498001E-03
58        986601.837712291       123501.908211799            1.0000000E+00              1.0000000E+01            3.7498001E-03
59        986918.710520303       123313.932817216            1.0000000E+00              1.0000000E+01            3.7498001E-03
60        986564.242633375       123292.449914978            1.0000000E+00              1.0000000E+01            3.7498001E-03
61        986435.345219946       122991.689283645            1.0000000E+00              1.0000000E+01            3.7498001E-03
62        986591.096261172       122379.426569861            1.0000000E+00              1.0000000E+01            3.7498001E-03
63        974925.88034591        126665.265566352            1.0000000E+00              1.0000000E+01            3.7498001E-03
64        978492.042117426       125193.686763046            1.0000000E+00              1.0000000E+01            3.7498001E-03
65        977138.619276429       124484.75098919             1.0000000E+00              1.0000000E+01            3.7498001E-03
66        976730.444133906       123356.898621692            1.0000000E+00              1.0000000E+01            3.7498001E-03
67        987730                 121488                      1.0000000E+00              1.0000000E+01            3.7498001E-03
