213              4     166129   0.6850845         165809   6.0859282E-02     165808   2.0727678E-02     166128   0.2333286    
214              4     162606   0.5495720         162926   9.2843014E-03     162927   7.3287386E-03     162607   0.4338150    
215              4     166785   0.3000365         166784   0.2509505         167104   0.2045058         167105   0.2445072    
216              4     164866   0.4846938         164865   0.3858931         165185   5.7363140E-02     165186   7.2049900E-02
217              4     162307   0.6328755         162306   0.1369114         162626   4.0944830E-02     162627   0.1892682    
219              4     152704   0.4919807         152384   9.6363033E-02     152383   6.7423927E-02     152703   0.3442323    
221              4     158801   0.5150991         158800   0.1932878         159120   7.9568443E-02     159121   0.2120446    
222              4     155314   0.5492540         155315   0.4321591         154995   8.1846515E-03     154994   1.0402309E-02
23               4     158855   0.3411022         159175   0.2671541         159176   0.1720590         158856   0.2196848    
24               4     156293   0.6417115         155973   6.5632275E-02     155972   2.7154685E-02     156292   0.2655016    
25               4     153734   0.9649491         153733   2.7037854E-02     154053   2.1840550E-04     154054   7.7946345E-03
3                4     169870   0.4687860         169871   0.2306271         169551   9.9116668E-02     169550   0.2014703    
4                4     170837   0.7228906         170517   0.2024531         170516   1.6333816E-02     170836   5.8322444E-02
46               4     159404   0.4598388         159403   4.2748167E-02     159723   4.2308093E-02     159724   0.4551049    
47               4     166453   0.3833639         166133   0.3123799         166132   0.1366071         166452   0.1676492    
49               4     164870   0.5148972         164550   0.1496466         164549   7.5540375E-02     164869   0.2599159    
57               4     159404   0.4725234         159405   3.7289632E-02     159085   3.5854108E-02     159084   0.4543329    
6                4     159908   0.7459945         160228   0.1222618         160229   1.8551237E-02     159909   0.1131925    
7                4     161515   0.3875791         161835   0.2140771         161836   0.1417359         161516   0.2566078    
74               4     161717   0.5863283         162037   0.1329279         162038   5.1885104E-02     161718   0.2288586    
77               4     171479   0.5416586         171478   0.3859284         171798   3.0127899E-02     171799   4.2285141E-02
8                4     161515   0.3875791         161835   0.2140771         161836   0.1417359         161516   0.2566078    
84               4     145979   0.7011491         145659   0.1511947         145658   2.6192295E-02     145978   0.1214640    
87               4     149817   0.6409497         149497   0.3133940         149496   1.4992920E-02     149816   3.0663340E-02
9                4     158477   0.6283234         158157   0.3072204         158156   2.1166595E-02     158476   4.3289665E-02
97               4     159388   0.7532375         159068   4.6706283E-02     159067   1.1680677E-02     159387   0.1883756    
